,name,uri,danceability,energy,loudness,speechiness,acousticness,liveness
0,Adore You,spotify:track:3jjujdWJ72nww5eGnfs2E7,0.676,0.771,-3.675,0.0483,0.0237,0.102
1,Outta Time (feat. Drake),spotify:track:4SCnCPOUOUXUmCX2uHb3r7,0.714,0.582,-7.272,0.0808,0.0129,0.0774
2,Inhale,spotify:track:0ycIrEpkyb4lrqE7M1emju,0.498,0.705,-8.088,0.392,0.321,0.414
3,"Yo Love - From ""Queen & Slim: The Soundtrack""",spotify:track:3Vj8RQkFwOmDvUrwu6MtQZ,0.703,0.573,-9.032,0.0724,0.565,0.0987
4,Sweater Weather,spotify:track:2QjOHCTQ1Jl3zawyYOpxh6,0.612,0.807,-2.81,0.0336,0.0495,0.101
5,Distance,spotify:track:69f1steoIMhN1skPkBR6rB,0.774,0.812,-5.446,0.215,0.184,0.0757
6,Barking,spotify:track:2JbO1rep5Um3RAKB8szQrR,0.534,0.563,-7.845,0.312,0.181,0.0525
7,Bad Intentions,spotify:track:5W3UniuRMkHHIpaiQo1hAW,0.747,0.716,-5.071,0.0798,0.26,0.0907
8,Losing,spotify:track:3F1gjSkTX9kvxOo6BnlRNd,0.422,0.349,-12.424,0.315,0.339,0.108
9,It Won't Stop (feat. Chris Brown) - EP Version,spotify:track:2xRYnHQdLD9ketvC01UYYT,0.657,0.574,-9.484,0.0407,0.016,0.172
10,"10,000 Hours",spotify:track:6d1fGqMtdUEuHqFSDMlR0N,0.598,0.405,-8.155,0.0464,0.203,0.311
11,Late Night Drive,spotify:track:0K83VVfg5Y4bPoZ4kmytKH,0.491,0.375,-10.031,0.2,0.382,0.103
12,Come and See Me & Location Mashup (feat. Maurice Moore),spotify:track:0cd8RfWqOAO6gPPTW2QnmL,0.536,0.318,-9.878,0.0478,0.908,0.115
13,Treat Me Like Somebody,spotify:track:2mx4wF6IW1mfZmWtENDBUU,0.529,0.36,-10.84,0.113,0.474,0.0446
14,TKN (feat. Travis Scott),spotify:track:4w47S36wQGBhGg073q3nt7,0.776,0.509,-6.266,0.467,0.192,0.115
15,Hold Me While You Wait,spotify:track:60iSKGrGazRzICtMjADNSM,0.688,0.53,-5.507,0.0333,0.443,0.0995
16,Bruises,spotify:track:4Of7rzpRpV1mWRbhp5rAqG,0.736,0.308,-7.83,0.0677,0.946,0.186
17,Remember Me,spotify:track:630Ug0XtmhhFvAKo0PNuEI,0.84,0.344,-8.613,0.0374,0.456,0.35
