,name,uri,danceability,energy,loudness,speechiness,acousticness,liveness
46,One Dance,spotify:track:1xznGGDReH1oQq0xzbwXa3,0.791,0.619,-5.886,0.0532,0.00784,0.351
47,Alone No More,spotify:track:1bVk409hTFVAmFqKtj4zai,0.626,0.922,-4.532,0.0373,0.0807,0.147
48,Be Right There,spotify:track:71EnloViXmSKrQkrkaYFxF,0.695,0.796,-5.199,0.0548,0.00251,0.664
49,All Cried Out (feat. Alex Newell) - Radio Edit,spotify:track:6n7rJUcwmQDestMYXoSoZF,0.657,0.757,-5.257,0.0584,0.428,0.0728
50,House Every Weekend - Radio Edit,spotify:track:2rWisQk9hxSap9ZtTx45sv,0.791,0.574,-7.061,0.0673,0.324,0.102
51,I Wanna Feel,spotify:track:5nrdOK0i7daIsDAt4zRbHM,0.69,0.895,-6.305,0.0596,0.0693,0.102
52,Wish You Were Mine - Radio Edit,spotify:track:4aSFlFgOefeVIKkW2NyMPl,0.654,0.83,-4.006,0.0283,0.0115,0.0905
53,Light It Up (feat. Nyla & Fuse ODG) - Remix,spotify:track:6lDo13SSgTv0WbyUQKgnjk,0.746,0.877,-3.782,0.0666,0.0375,0.233
54,How Deep Is Your Love,spotify:track:22mek4IiqubGD9ctzxc69s,0.738,0.868,-4.373,0.0731,0.0389,0.388
55,My Head Is a Jungle - (Radio Edit) [Live],spotify:track:5479RIes0OUXZkCDsWg7Mc,0.729,0.72,-5.2,0.0484,0.391,0.116
56,My Love (feat. Jess Glynne),spotify:track:4jpbDGZz6euo0xDcLlJUDZ,0.816,0.61,-7.63,0.0503,0.000121,0.06
57,Look Right Through - MK Vocal Edit,spotify:track:3WG2XcylOzMxoRNwEpmXSe,0.832,0.815,-8.035,0.081,0.00304,0.263
58,Never Forget You,spotify:track:6WLS56xiRrXjSm9RSdL3zD,0.583,0.732,-5.728,0.0457,0.00312,0.269
59,Lean On (feat. MØ & DJ Snake),spotify:track:4WjH9Bzt3kx7z8kl0awxh4,0.723,0.809,-3.081,0.0625,0.00346,0.565
60,Rumour Mill (feat. Anne-Marie & Will Heard),spotify:track:6vV9NyQIsWMQ08KOWMSp3a,0.842,0.534,-8.547,0.171,0.147,0.261
61,Not Letting Go (feat. Jess Glynne) - XYconstant Remix,spotify:track:2aoOHHnDzS653vhmsCzmIp,0.721,0.832,-7.251,0.0499,0.00945,0.178
