,name,danceability,energy,loudness,speechiness,acousticness,liveness,tempo
0,Love's In Need Of Love Today,0.638,0.353,-14.28,0.0285,0.694,0.138,98.697
1,Have A Talk With God,0.634,0.612,-12.881,0.263,0.479,0.159,78.817
2,Village Ghetto Land,0.241,0.0557,-15.846,0.0338,0.778,0.217,84.82
3,Contusion,0.441,0.839,-10.913,0.0403,0.00886,0.363,129.378
4,Sir Duke,0.588,0.568,-9.766,0.0672,0.16,0.0792,106.938
5,I Wish,0.821,0.721,-10.401,0.0515,0.0816,0.0664,105.866
6,Knocks Me Off My Feet,0.496,0.488,-14.195,0.0305,0.295,0.132,181.042
7,Pastime Paradise,0.514,0.487,-11.657,0.102,0.154,0.112,78.535
8,Summer Soft,0.548,0.615,-12.019,0.0493,0.374,0.09,104.884
9,Ordinary Pain,0.648,0.614,-10.45,0.0473,0.0748,0.0852,97.778
10,Isn't She Lovely,0.481,0.826,-6.974,0.0851,0.182,0.324,118.679
11,Joy Inside My Tears,0.469,0.478,-12.372,0.0291,0.429,0.127,101.592
12,Black Man,0.776,0.921,-9.791,0.063,0.121,0.0766,109.502
13,Ngiculela-Es Una Historia-I Am Singing,0.682,0.518,-11.317,0.038,0.14,0.0878,101.166
14,If It's Magic,0.359,0.127,-18.438,0.0462,0.936,0.261,94.058
15,As,0.467,0.869,-10.342,0.0559,0.0589,0.244,102.376
16,Another Star,0.57,0.844,-9.684,0.0492,0.102,0.0914,121.975
17,Saturn,0.54,0.485,-13.164,0.0372,0.354,0.634,87.58
18,Ebony Eyes,0.577,0.61,-10.559,0.0424,0.0791,0.377,207.143
19,All Day Sucker,0.685,0.604,-9.285,0.0299,0.0733,0.0809,105.879
20,Easy Goin' Evening (My Mama's Call),0.477,0.174,-14.088,0.0321,0.266,0.125,119.41
21,Death On Two Legs (Dedicated To...) - Remastered 2011,0.395,0.698,-6.244,0.0573,0.334,0.155,124.66
22,Lazing On A Sunday Afternoon - Remastered 2011,0.643,0.579,-9.165,0.0555,0.445,0.109,131.901
23,I'm In Love With My Car - Remastered 2011,0.299,0.818,-8.542,0.0683,0.0129,0.202,143.583
24,You're My Best Friend - Remastered 2011,0.518,0.761,-7.025,0.0452,0.158,0.0715,118.738
25,'39 - Remastered 2011,0.519,0.584,-9.67,0.027,0.0275,0.111,101.632
26,Sweet Lady - Remastered 2011,0.31,0.859,-8.937,0.0754,0.0127,0.596,119.006
27,Seaside Rendezvous - Remastered 2011,0.444,0.7,-5.494,0.14,0.386,0.253,167.538
28,The Prophet's Song - Remastered 2011,0.397,0.451,-9.812,0.0461,0.316,0.347,139.284
29,Love Of My Life - Remastered 2011,0.331,0.183,-11.63,0.0287,0.936,0.115,79.195
30,Good Company - Remastered 2011,0.5,0.418,-11.277,0.0444,0.779,0.346,183.067
