,name,danceability,energy,loudness,speechiness,acousticness,liveness,tempo
31,Bohemian Rhapsody - Remastered 2011,0.392,0.402,-9.961,0.0536,0.288,0.243,143.883
32,God Save The Queen - Remastered 2011,0.104,0.293,-15.24,0.0327,0.666,0.31,90.742
33,Keep Yourself Alive - Long Lost Retake / June 1975 / Remastered 2011,0.488,0.797,-9.029,0.142,0.185,0.0989,135.267
34,Bohemian Rhapsody - Operatic Section / 2011 A Cappella Mix,0.772,0.591,-12.388,0.57,0.658,0.0748,75.838
35,You’re My Best Friend - Backing Track Mix,0.567,0.727,-8.802,0.0435,0.0428,0.0991,120.998
36,I’m In Love With My Car - Guitar & Vocal Mix / 2011,0.257,0.584,-10.625,0.0413,0.873,0.383,98.213
37,"'39 - Live At Earl’s Court, London / June 1977",0.477,0.584,-9.455,0.0407,0.348,0.695,101.803
38,Love Of My Life - Live In Argentina / June 1979,0.209,0.413,-10.188,0.0327,0.885,0.892,85.507
39,I Thought About Killing You,0.752,0.396,-7.932,0.411,0.867,0.0486,116.016
40,Yikes,0.683,0.776,-3.251,0.341,0.15,0.227,173.996
41,All Mine,0.925,0.31,-6.531,0.291,0.123,0.0931,121.927
42,Wouldn't Leave,0.556,0.432,-8.551,0.545,0.495,0.308,164.235
43,No Mistakes,0.643,0.646,-2.442,0.0629,0.0393,0.109,80.174
44,Ghost Town,0.573,0.545,-4.247,0.0288,0.0969,0.329,83.378
45,Violent Crimes,0.669,0.419,-6.724,0.522,0.376,0.187,109.813
46,Dark Fantasy,0.599,0.587,-5.919,0.0423,0.274,0.167,87.998
47,Gorgeous,0.598,0.713,-3.625,0.0326,0.0207,0.431,91.964
48,POWER,0.542,0.914,-4.747,0.113,0.0161,0.744,153.993
49,All Of The Lights (Interlude),0.296,0.0792,-16.569,0.0389,0.902,0.128,110.95
50,All Of The Lights,0.531,0.803,-3.284,0.0717,0.0796,0.176,142.113
51,Monster,0.628,0.692,-5.64,0.202,0.00244,0.668,124.887
52,So Appalled,0.64,0.754,-5.873,0.283,0.255,0.63,87.15
53,Devil In A New Dress,0.435,0.76,-4.935,0.0721,0.0175,0.158,80.082
54,Runaway,0.374,0.568,-3.825,0.109,0.219,0.513,84.733
55,Hell Of A Life,0.449,0.813,-5.478,0.129,0.00142,0.106,177.962
56,Blame Game,0.419,0.581,-5.964,0.0688,0.306,0.11,80.305
57,Lost In The World,0.608,0.746,-5.249,0.184,0.115,0.427,117.072
58,Who Will Survive In America,0.677,0.842,-6.111,0.36,0.228,0.856,116.166
59,Hit Different,0.679,0.516,-6.371,0.0452,0.199,0.0965,120.074
60,Del Mar,0.759,0.636,-5.585,0.0369,0.0224,0.166,109.976
61,Lithuania (feat. Travis Scott),0.676,0.82,-5.217,0.0554,0.0493,0.615,152.028
62,Sweet & Sour (feat. Lauv & Tyga),0.827,0.73,-5.324,0.0934,0.092,0.258,95.003
63,What They'll Say About Us,0.535,0.314,-12.823,0.0408,0.895,0.0874,145.095
64,"Tap In (feat. Post Malone, DaBaby & Jack Harlow)",0.948,0.63,-7.011,0.219,0.00647,0.0737,100.032
65,Give It To Me,0.787,0.592,-6.01,0.0453,0.109,0.095,100.02
66,Icy,0.836,0.662,-5.063,0.0623,0.0284,0.0781,111.519
67,Not Alright,0.787,0.688,-3.562,0.0381,0.00368,0.0676,101.964
68,At My Worst,0.813,0.415,-5.926,0.0349,0.777,0.131,91.921
69,17,0.653,0.362,-8.699,0.0472,0.165,0.11,129.854
70,Lows,0.643,0.446,-8.727,0.0479,0.575,0.239,131.95
71,Myself,0.745,0.561,-5.513,0.072,0.465,0.0338,195.918
72,Mulholland Drive (feat. Ebenezer),0.727,0.573,-6.075,0.0423,0.0163,0.709,157.027
73,the 1,0.777,0.357,-6.942,0.0522,0.757,0.108,139.883
74,cardigan,0.613,0.581,-8.588,0.0424,0.537,0.25,130.033
75,the last great american dynasty,0.686,0.662,-8.505,0.0413,0.467,0.109,147.922
76,exile (feat. Bon Iver),0.298,0.38,-8.426,0.0287,0.778,0.11,75.602
77,my tears ricochet,0.456,0.263,-10.63,0.0332,0.806,0.0749,129.86
78,mirrorball,0.553,0.413,-10.037,0.0334,0.687,0.0594,110.107
79,seven,0.596,0.488,-10.769,0.0274,0.9,0.091,94.926
80,august,0.532,0.623,-9.208,0.0331,0.538,0.0925,89.937
81,this is me trying,0.515,0.476,-9.843,0.0328,0.314,0.171,135.886
82,illicit affairs,0.559,0.31,-10.445,0.0338,0.881,0.106,119.845
83,invisible string,0.653,0.452,-11.143,0.055,0.838,0.108,83.433
84,mad woman,0.592,0.699,-8.995,0.0471,0.655,0.114,141.916
85,epiphany,0.354,0.267,-13.69,0.0281,0.731,0.0858,94.219
86,betty,0.593,0.377,-8.761,0.0253,0.6,0.0976,95.939
87,peace,0.647,0.272,-12.906,0.0916,0.918,0.0918,150.044
88,hoax,0.662,0.181,-15.065,0.0415,0.966,0.133,118.819
89,It's a Moot Point,0.7,0.66,-6.642,0.0796,0.221,0.0886,150.028
90,35.31,0.798,0.559,-10.868,0.0592,0.286,0.349,102.018
91,Agüita,0.761,0.75,-5.45,0.376,0.184,0.16,134.863
92,Honeypie,0.743,0.683,-4.606,0.201,0.0713,0.15,115.033
93,Trust,0.764,0.394,-8.559,0.154,0.224,0.119,92.011
94,Smile,0.531,0.487,-10.321,0.22,0.911,0.222,75.487
95,Feathers,0.459,0.638,-7.287,0.222,0.506,0.114,74.364
96,Sanctuary,0.719,0.764,-5.221,0.328,0.0249,0.0759,98.066
97,My Year,0.763,0.579,-6.154,0.146,0.166,0.139,125.959
98,Stay,0.743,0.515,-10.006,0.327,0.157,0.11,86.958
99,This Must Be the Place (Naive Melody) - 2005 Remaster,0.942,0.641,-10.15,0.0333,0.331,0.028,114.443
100,Clouded,0.583,0.344,-8.765,0.0559,0.774,0.143,65.203
101,BROKEN GIRLS,0.663,0.572,-10.593,0.102,0.322,0.171,117.051
102,Good Guy,0.513,0.131,-12.787,0.467,0.983,0.12,105.808
103,Loose,0.198,0.162,-15.815,0.0343,0.926,0.135,70.453
104,Meet Me in Amsterdam,0.62,0.265,-10.409,0.0345,0.281,0.114,106.022
105,BUTTERFLY,0.274,0.363,-9.72,0.0348,0.831,0.359,69.317
106,Golden,0.671,0.374,-11.489,0.125,0.268,0.324,84.92
107,Dazed,0.797,0.274,-11.079,0.043,0.0664,0.214,100.025
108,Real Magic,0.849,0.418,-7.45,0.078,0.203,0.101,139.979
109,Better,0.816,0.527,-9.479,0.0871,0.156,0.0998,152.029
110,Us (How Sweet It Was),0.66,0.345,-12.457,0.0547,0.779,0.126,143.925
111,Come Outside,0.944,0.706,-4.535,0.087,0.0177,0.108,100.926
112,Is It True - Four Tet Remix,0.697,0.598,-7.722,0.0295,0.469,0.0659,117.992
113,Powerslide,0.839,0.511,-6.2,0.0711,0.152,0.403,102.424
114,Bug Eyes,0.284,0.45,-8.696,0.0423,0.385,0.233,82.974
115,Mind Over Matter,0.466,0.763,-4.448,0.0318,0.000501,0.0973,154.914
116,Lockdown,0.928,0.437,-7.081,0.127,0.144,0.147,100.056
117,It's Easier When You're Standing There,0.407,0.311,-12.197,0.0284,0.823,0.136,80.314
118,Always Be the Same (feat. Jon Bryant),0.686,0.523,-9.632,0.0305,0.435,0.111,77.991
119,Surround You,0.557,0.554,-7.106,0.0291,0.238,0.122,110.026
120,Don't Let Me Down,0.854,0.674,-7.32,0.0597,0.345,0.12,109.958
121,Small Talk,0.854,0.376,-8.586,0.0437,0.217,0.13,112.981
122,London in the Spring - Single Version,0.47,0.246,-13.593,0.0471,0.758,0.108,78.616
123,Moon,0.651,0.448,-11.006,0.038,0.82,0.339,116.444
124,The Key to Life on Earth,0.519,0.941,-2.09,0.0647,0.000922,0.1,128.023
125,Nothing,0.555,0.27,-15.892,0.0884,0.931,0.103,139.691
126,Jungle,0.688,0.646,-11.243,0.153,0.463,0.0921,82.099
127,House of Clocks,0.734,0.384,-11.564,0.393,0.636,0.131,76.086
128,BTFL,0.858,0.381,-14.619,0.324,0.111,0.402,101.0
129,Silicon Valley,0.693,0.499,-10.487,0.0893,0.347,0.0584,84.21
130,Me No Evil,0.919,0.55,-13.554,0.0543,0.155,0.164,105.999
131,Modern Boi,0.625,0.47,-11.526,0.0956,0.309,0.251,80.003
132,Tell Me Nothing,0.878,0.417,-13.917,0.0383,0.268,0.108,113.984
133,Trashman,0.791,0.369,-10.526,0.0708,0.0292,0.0472,139.975
134,Play God,0.765,0.318,-11.26,0.0488,0.204,0.268,123.957
135,Long Nights,0.65,0.591,-9.289,0.167,0.185,0.294,171.941
136,Risky Business,0.866,0.685,-7.501,0.192,0.139,0.197,111.051
137,Apartment,0.736,0.816,-7.306,0.0465,0.34,0.0977,162.065
138,Love Language,0.582,0.586,-4.369,0.0838,0.124,0.0866,89.599
139,Nunya (feat. Dom Kennedy),0.675,0.71,-4.027,0.21,0.39,0.381,97.98
140,Preach,0.716,0.836,-3.09,0.038,0.0455,0.191,116.933
141,Chew On My Heart,0.545,0.719,-5.424,0.039,0.0696,0.146,123.075
142,Tiny Fires,0.417,0.408,-11.596,0.0591,0.537,0.102,85.905
143,Queenstown,0.614,0.169,-13.829,0.0367,0.889,0.114,122.56
144,Renee,0.924,0.386,-8.183,0.0548,0.755,0.118,108.957
145,Pain 1993 (with Playboi Carti),0.825,0.373,-5.532,0.108,0.163,0.368,77.271
146,Savage Remix (feat. Beyoncé),0.822,0.743,-4.772,0.28,0.016,0.127,84.459
147,D4L,0.718,0.706,-5.709,0.06,0.0128,0.352,170.004
148,Say So (feat. Nicki Minaj),0.856,0.641,-4.64,0.204,0.119,0.427,111.004
149,Cold (feat. Tory Lanez),0.881,0.785,-5.4,0.102,0.0121,0.0849,105.972
150,"Slide (Remix) (feat. Pop Smoke, A Boogie Wit da Hoodie & Chris Brown)",0.815,0.513,-8.363,0.244,0.0145,0.14,96.982
151,F&MU,0.717,0.597,-4.465,0.0838,0.383,0.14,77.048
152,Like That (feat. Gucci Mane),0.879,0.499,-6.027,0.18,0.24,0.0967,106.043
153,Captain Hook,0.863,0.633,-5.002,0.287,0.0118,0.285,163.991
154,Levi High (feat. DaBaby),0.916,0.682,-3.965,0.334,0.0629,0.0801,142.12
155,B*tch From Da Souf (Remix),0.834,0.531,-5.708,0.36,0.0662,0.136,150.126
156,Toxic,0.656,0.453,-5.395,0.0351,0.307,0.113,111.804
157,ROCKSTAR (feat. Roddy Ricch),0.746,0.69,-7.956,0.164,0.247,0.101,89.977
158,Walk Em Down (feat. Roddy Ricch),0.867,0.744,-5.171,0.227,0.268,0.0713,84.005
159,THE SCOTTS,0.697,0.505,-7.698,0.0527,0.382,0.161,129.907
160,Trillionaire (feat. Youngboy Never Broke Again),0.768,0.526,-7.182,0.209,0.237,0.139,139.999
161,Chirp (feat. Quavo),0.851,0.626,-5.696,0.0766,0.126,0.257,126.011
162,Feel Some Way (feat. Wale),0.727,0.645,-6.853,0.0658,0.0969,0.114,124.014
163,"Life Is Good (feat. Drake, DaBaby & Lil Baby) - Remix",0.79,0.566,-8.33,0.437,0.106,0.119,142.016
164,"Life Is Good (feat. Drake, DaBaby & Lil Baby) - Remix",0.81,0.566,-8.33,0.433,0.107,0.122,142.069
165,They Call Me Tiago (Her Name Is Margo),0.878,0.578,-7.581,0.0722,0.196,0.0965,100.996
166,Hit Yo Dance (feat. Yella Beezy & NLE Choppa),0.919,0.776,-4.84,0.234,0.00884,0.0631,92.979
167,Address It,0.903,0.611,-8.006,0.268,0.109,0.0904,94.525
168,TKN (feat. Travis Scott),0.776,0.509,-6.266,0.467,0.192,0.115,94.634
169,"495 (feat. Rico Nasty, YungManny, Big Flock, Big JAM & Weensey)",0.85,0.613,-6.486,0.306,0.00759,0.145,131.981
170,"T.D (Lil Yachty & Tierra Whack feat. A$AP Rocky & Tyler, The Creator)",0.784,0.632,-6.083,0.347,0.156,0.605,124.603
171,Dominican Mami (feat. Fivio Foreign),0.832,0.71,-3.488,0.137,0.35,0.09,140.985
172,Need It,0.852,0.745,-3.667,0.171,0.0313,0.0824,148.007
173,What I Need (Chopnotslop Remix),0.744,0.448,-9.348,0.0741,0.012,0.516,138.163
174,Shimmy (with Doja Cat),0.902,0.706,-4.643,0.204,0.0459,0.0682,98.034
175,Cash Shit (feat. DaBaby),0.921,0.635,-4.904,0.416,0.0218,0.0946,130.028
176,Tap In,0.954,0.696,-7.117,0.204,0.00576,0.0754,100.036
177,"Dirty (from Insecure: Music From The HBO Original Series, Season 4)",0.754,0.763,-5.145,0.0831,5.22e-05,0.275,92.605
178,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix",0.904,0.723,-5.224,0.26,0.0631,0.185,145.013
179,Roses Remix (feat. Future),0.941,0.463,-5.993,0.113,0.0247,0.192,127.003
180,COOLER THAN A BITCH (feat. Roddy Ricch),0.837,0.586,-8.521,0.0807,0.281,0.134,117.066
181,Girls in the Hood,0.826,0.862,-3.21,0.343,0.00935,0.0442,179.931
182,I Like Him,0.893,0.579,-8.995,0.113,0.0641,0.215,133.018
183,Pussy Talk,0.943,0.641,-5.598,0.191,0.0016,0.211,99.099
184,"Can't Relate (feat. YBN Nahmir, YG)",0.871,0.674,-6.579,0.397,0.02,0.0565,160.007
185,Foreigner (feat. A Boogie Wit da Hoodie),0.484,0.553,-7.914,0.353,0.471,0.276,103.772
186,"Baguettes in the Face (feat. NAV, Playboi Carti & A Boogie Wit da Hoodie)",0.883,0.525,-8.054,0.0633,0.189,0.0971,99.978
187,Go Crazy,0.755,0.578,-8.932,0.145,0.316,0.25,94.148
188,Pretty Bitch Freestyle,0.717,0.66,-5.887,0.467,0.0259,0.388,200.011
189,POPSTAR (feat. Drake),0.8,0.56,-4.818,0.261,0.057,0.134,163.071
190,Yikes,0.911,0.637,-8.381,0.447,0.0409,0.238,149.996
191,Jobs,0.885,0.592,-6.06,0.303,0.00094,0.081,159.996
192,Deepthroat,0.93,0.65,-6.896,0.259,0.184,0.198,98.023
193,Racks 2 Skinny,0.814,0.584,-5.425,0.0819,0.00839,0.0646,141.016
194,DOLLAZ ON MY HEAD (feat. Young Thug),0.825,0.458,-7.47,0.0577,0.114,0.102,145.115
195,Solitaires (feat. Travis Scott),0.691,0.632,-7.598,0.0513,0.122,0.0646,169.982
196,My Type,0.899,0.811,-6.294,0.258,0.000677,0.0672,105.038
197,The Woo (feat. 50 Cent & Roddy Ricch),0.49,0.618,-5.655,0.104,0.0221,0.259,99.7
198,WAP (feat. Megan Thee Stallion),0.935,0.454,-7.509,0.375,0.0194,0.0824,133.073
199,Time Flies,0.864,0.477,-5.786,0.224,0.201,0.182,86.46
200,Freak,0.688,0.716,-5.702,0.0385,0.0969,0.0989,116.912
201,Mood Swings (feat. Lil Tjay),0.48,0.602,-6.335,0.368,0.487,0.0848,179.798
202,Leave Em Alone,0.517,0.747,-4.74,0.296,0.0189,0.0821,102.033
203,TWIST & TURN (feat. Drake & PARTYNEXTDOOR),0.571,0.747,-4.659,0.17,0.478,0.116,106.253
204,In The Party,0.919,0.609,-5.059,0.262,0.0096,0.124,134.992
205,Girls in the Hood,0.821,0.863,-3.159,0.353,0.00824,0.0377,180.013
206,In n Out (feat. City Girls),0.898,0.748,-6.137,0.275,0.511,0.171,94.997
207,Bussin 2.0 (with Saweetie),0.859,0.714,-4.502,0.267,0.186,0.0826,73.964
208,Boys Ain't Shit (feat. Flo Milli),0.833,0.656,-4.428,0.168,0.306,0.406,102.979
209,Pretty MF,0.788,0.455,-7.544,0.0667,0.0953,0.102,94.013
210,My Affection (with PARTYNEXTDOOR),0.632,0.495,-8.335,0.143,0.333,0.0941,77.083
211,3 a.m.,0.446,0.222,-13.47,0.0282,0.909,0.11,92.353
212,After Hours,0.659,0.572,-6.103,0.0305,0.0785,0.123,108.967
213,After Hours - The Blaze Remix,0.605,0.536,-7.427,0.0494,0.426,0.087,109.016
214,... Again (feat. Shantel May),0.683,0.534,-5.303,0.0291,0.0553,0.109,119.974
215,Alone Again,0.256,0.653,-7.972,0.0544,0.0337,0.168,90.673
216,Angel's Song,0.693,0.195,-15.278,0.0446,0.894,0.126,116.725
217,BELIEVE IT,0.426,0.705,-5.435,0.307,0.0896,0.221,158.333
218,Between Us (feat. Snoh Aalegra),0.769,0.458,-10.663,0.105,0.0533,0.139,127.956
219,Black Licorice,0.693,0.54,-9.133,0.0333,0.0309,0.116,124.032
220,Blinding Lights,0.517,0.727,-5.947,0.0564,0.00154,0.0882,170.964
221,Blinding Lights - Chromatics Remix,0.62,0.648,-6.057,0.066,0.00965,0.0641,171.065
222,Blue World,0.742,0.553,-8.98,0.419,0.389,0.0694,84.931
223,boyfriend (with Social House),0.4,0.795,-3.731,0.461,0.119,0.159,190.097
224,Casino,0.6,0.322,-6.982,0.0315,0.472,0.14,109.877
225,Cayendo (Side A - Acoustic),0.35,0.12,-11.104,0.0393,0.982,0.103,68.995
226,Circles,0.61,0.0316,-15.186,0.0486,0.896,0.108,151.964
227,Coming Home,0.427,0.465,-6.595,0.0291,0.461,0.154,112.137
228,Courtside (feat. Jessie Reyez),0.753,0.425,-8.975,0.211,0.583,0.141,109.993
229,Crowned,0.816,0.554,-5.472,0.0359,0.123,0.138,130.019
230,Dangerous City (feat. Buju Banton),0.561,0.604,-6.234,0.254,0.148,0.737,106.735
231,Dear April (Side A - Acoustic),0.444,0.152,-12.87,0.0471,0.953,0.0966,115.95
232,Ecstasy,0.606,0.36,-7.231,0.184,0.509,0.105,72.476
233,Escape From LA,0.429,0.548,-9.006,0.0575,0.0473,0.187,146.102
234,Everybody,0.875,0.599,-9.077,0.138,0.0333,0.113,152.061
235,Faith,0.344,0.605,-7.34,0.0795,0.615,0.146,176.873
236,Figure 8,0.508,0.624,-9.395,0.0403,0.000256,0.146,80.099
237,Final Lullaby - Bonus Track,0.604,0.26,-10.498,0.0373,0.841,0.327,100.964
238,'Flawless' Do It Well Pt. 3 (feat. Summer Walker),0.607,0.42,-9.307,0.0595,0.216,0.129,140.639
239,Floating,0.505,0.391,-11.599,0.0416,0.669,0.113,135.12
240,For Us,0.603,0.41,-6.893,0.0351,0.0698,0.298,129.929
241,Friends (feat. PARTYNEXTDOOR),0.767,0.454,-7.825,0.0364,0.0261,0.101,119.974
242,Good Cry,0.8,0.439,-9.433,0.0453,0.171,0.132,100.063
243,Good News,0.794,0.32,-12.92,0.173,0.853,0.112,174.088
244,Governess Shadow,0.46,0.958,-4.212,0.0756,0.000109,0.575,166.058
245,Greedy,0.667,0.401,-10.467,0.0458,0.0703,0.157,76.017
246,Hand Me Downs,0.677,0.33,-11.198,0.149,0.474,0.064,68.985
247,Hands,0.739,0.627,-8.608,0.171,0.0459,0.159,74.962
248,Hardest To Love,0.472,0.608,-7.873,0.0596,0.0966,0.122,81.154
249,Heartless,0.537,0.751,-5.488,0.14,0.0189,0.145,169.986
250,Heartless - Vapor Wave Remix,0.523,0.73,-3.715,0.0754,0.155,0.124,75.038
251,Hear Your Heart,0.54,0.296,-13.866,0.0487,0.743,0.102,104.135
252,Hell Bound - Ad 01,0.882,0.721,-7.209,0.0539,0.0437,0.0789,149.013
253,Hit Clip,0.792,0.304,-13.258,0.129,0.928,0.121,135.009
254,I Can See,0.699,0.503,-9.922,0.0882,0.391,0.0996,114.86
255,If You Ever Want To Be In Love,0.683,0.837,-5.46,0.0307,0.0276,0.0627,115.933
256,I Got So High That I Saw Jesus,0.577,0.384,-11.897,0.0436,0.314,0.0809,139.597
257,Incomplete,0.524,0.401,-9.159,0.0369,0.664,0.118,144.849
258,In Your Eyes,0.667,0.72,-5.348,0.0331,0.00255,0.0753,100.021
259,Jesus Christ 2005 God Bless America,0.541,0.287,-15.897,0.0345,0.878,0.339,78.947
260,Jocelyn Flores,0.872,0.391,-9.144,0.242,0.469,0.297,134.021
261,Keep It Going,0.866,0.525,-9.391,0.104,0.00348,0.0698,140.019
262,Keep On Dancing,0.586,0.562,-7.677,0.348,0.621,0.092,81.28
263,Leaders (feat. NAV),0.95,0.654,-5.895,0.307,0.0744,0.138,132.936
264,Let It Go,0.536,0.311,-10.396,0.0288,0.82,0.107,147.486
265,Lightning,0.843,0.597,-6.452,0.0635,0.0715,0.104,127.004
266,Like a Dream,0.787,0.372,-9.305,0.032,0.506,0.218,94.166
267,Like I Loved You,0.725,0.688,-9.45,0.0572,0.391,0.114,100.006
268,Lonely,0.594,0.26,-9.062,0.0601,0.779,0.0924,84.648
269,LOYAL (feat. Drake and Bad Bunny) - Remix,0.877,0.529,-6.235,0.0461,0.479,0.094,104.984
270,Missed You - Bonus Track,0.716,0.364,-9.648,0.0866,0.107,0.113,151.968
271,Miss Me?,0.822,0.521,-6.347,0.102,0.0795,0.0945,76.013
272,Monsta,0.595,0.67,-4.879,0.197,0.0338,0.116,219.378
273,Moonlight,0.921,0.537,-5.723,0.0804,0.556,0.102,128.009
274,Move Together,0.556,0.297,-10.841,0.0344,0.717,0.141,130.617
275,Move Together - The Dark Of The Morning Version,0.384,0.264,-9.444,0.0321,0.657,0.259,129.877
276,A Muse,0.774,0.391,-6.753,0.166,0.646,0.0751,134.055
277,Need The Sun To Break,0.537,0.485,-8.131,0.0332,0.102,0.319,152.005
278,Need The Sun To Break - The Dark Of The Morning Version,0.572,0.29,-9.782,0.0337,0.854,0.0804,78.971
279,No Cryin (feat. Future),0.84,0.63,-7.147,0.359,0.162,0.0641,76.047
280,No Good,0.773,0.191,-12.717,0.0663,0.242,0.0949,96.973
281,No Guarantees - Stinson Beach Sessions,0.503,0.496,-11.654,0.0291,0.143,0.13,151.81
282,Nothing Compares - Bonus Track,0.524,0.577,-9.313,0.0358,0.00253,0.234,131.909
283,NUMB,0.414,0.416,-8.024,0.0251,0.1,0.131,159.91
284,Once A Day,0.762,0.054,-16.735,0.0503,0.947,0.124,96.838
285,Oprah’s Bank Account (Lil Yachty & DaBaby feat. Drake),0.84,0.624,-4.324,0.0541,0.182,0.321,138.05
286,Outlandish,0.822,0.415,-7.044,0.176,0.263,0.0793,104.009
287,P*$$Y Fairy (OTW),0.572,0.519,-7.092,0.212,0.536,0.102,128.331
288,PDLIF,0.328,0.461,-8.79,0.0434,0.447,0.155,126.015
289,Popstar,0.667,0.637,-5.18,0.204,0.224,0.123,160.136
290,QUARANTINE CLEAN,0.787,0.518,-8.084,0.268,0.541,0.132,91.344
291,Repeat After Me (Interlude),0.547,0.607,-7.907,0.0313,0.031,0.101,94.961
292,Right,0.682,0.281,-14.267,0.126,0.804,0.106,82.954
293,River,0.658,0.179,-10.866,0.0448,0.689,0.17,128.128
294,rock + roll,0.468,0.517,-7.049,0.0574,0.875,0.171,69.282
295,Roses - Imanbek Remix,0.77,0.724,-5.484,0.0495,0.0167,0.353,121.975
296,Running,0.538,0.245,-13.271,0.0364,0.48,0.108,73.774
297,SAD!,0.74,0.613,-4.88,0.145,0.258,0.123,75.023
298,Save Your Tears,0.684,0.817,-5.499,0.0308,0.0222,0.439,118.059
299,Save Your Tears - OPN Remix,0.68,0.842,-5.796,0.0524,0.278,0.12,118.015
300,Scared To Live,0.564,0.493,-8.311,0.048,0.123,0.0995,87.825
301,Scared To Live - SNL Live,0.458,0.642,-5.61,0.038,0.11,0.984,87.921
302,Scars,0.424,0.452,-8.816,0.0624,0.092,0.11,129.768
303,Snowchild,0.66,0.61,-7.558,0.112,0.168,0.122,148.038
304,So What (feat. Popcaan),0.785,0.476,-9.095,0.15,0.183,0.356,103.467
305,Squeaky,0.371,0.384,-9.218,0.0321,0.238,0.133,139.454
306,Still Pray for You,0.765,0.405,-10.587,0.0993,0.671,0.27,139.95
307,Streets,0.749,0.463,-8.433,0.0828,0.208,0.337,90.028
308,Surf,0.828,0.182,-13.066,0.166,0.754,0.15,147.279
309,Take Yourself Home,0.364,0.606,-9.188,0.0831,0.0748,0.106,99.73
310,Tears In The Rain,0.655,0.636,-7.84,0.0453,0.109,0.0842,160.01
311,Texas Sun,0.632,0.637,-10.011,0.0348,0.0352,0.0997,111.551
312,That's On Me,0.583,0.499,-10.086,0.0261,0.591,0.33,155.199
313,This is Us,0.549,0.883,-4.092,0.0344,0.148,0.0609,145.06
314,Too Late,0.64,0.869,-5.179,0.117,0.0518,0.691,120.07
315,Toosie Slide,0.834,0.454,-9.75,0.201,0.321,0.114,81.618
316,Turks (feat. Travis Scott),0.904,0.609,-4.449,0.128,0.0769,0.602,119.135
317,Until I Bleed Out,0.248,0.371,-9.976,0.0357,0.444,0.0911,125.273
318,Volvo,0.848,0.622,-8.462,0.494,0.57,0.126,160.029
319,Waiting,0.447,0.466,-5.609,0.0272,0.623,0.135,147.249
320,Wassup (feat. Future),0.762,0.622,-6.293,0.223,0.352,0.145,130.019
321,When We Were On Fire,0.686,0.81,-5.338,0.0496,0.00117,0.148,114.015
322,When We Were On Fire - The Dark Of The Morning Version,0.801,0.414,-8.485,0.0424,0.365,0.092,115.966
323,Woods,0.779,0.362,-10.847,0.0474,0.135,0.111,85.011
