,name,uri,danceability,energy,loudness,speechiness,acousticness,liveness
0,New Beginnings,spotify:track:2dIbIbzsIhjxYGyUELbNjM,0.403,0.283,-18.285,0.029,0.968,0.0771
1,No One - Kayge Calypso & DUNN Remix,spotify:track:28axGcu9he7YdQ0xwXIaC9,0.745,0.571,-8.951,0.26,0.663,0.371
2,Good Times,spotify:track:66ZR4uvw2III6WAejkdE8K,0.432,0.891,-5.131,0.233,0.0125,0.373
3,No Sweat,spotify:track:2p1FYe6RRNm7xl3xy6j1gv,0.809,0.855,-3.462,0.207,0.00838,0.0587
4,Boys in the Better Land,spotify:track:0clZN3exedgigVW1Okz9At,0.392,0.973,-5.02,0.0733,0.000292,0.348
5,Town Called Malice,spotify:track:0gdmDP6xy3ZV7JNoHWAN9k,0.542,0.91,-8.924,0.0873,0.00228,0.0686
6,Águas De Março,spotify:track:15ouqiBsgL12olEwP3COsH,0.654,0.393,-13.392,0.129,0.865,0.123
7,Without A Word,spotify:track:6NTIKfyWCP3Nm2zWB16o88,0.579,0.171,-14.495,0.0303,0.901,0.111
8,Clean,spotify:track:6RS7TkdyoZSA94FHmsqSSv,0.615,0.521,-8.059,0.0328,0.544,0.223
9,Skylight,spotify:track:7Jogq4nS3Lw5NLqNJWuojG,0.499,0.107,-16.823,0.0283,0.88,0.201
10,Echoes,spotify:track:2gZ3Qw3YPSPW62zFLwwVUi,0.598,0.892,-8.287,0.0423,0.164,0.478
11,Love You For A Long Time,spotify:track:6QTPacyXkZWG9FMwq6L1hJ,0.707,0.67,-6.137,0.0323,0.164,0.109
12,The Girl,spotify:track:1IFRVS4t1olI0XG9RBWdKH,0.404,0.542,-7.578,0.0349,0.837,0.137
13,blind,spotify:track:6d1ffV5RisInvrDxkLgBxe,0.765,0.663,-5.221,0.0661,0.154,0.0925
14,minimal,spotify:track:28sNP4vXS6EtFr2VKPhCTQ,0.575,0.679,-4.442,0.0432,0.547,0.34
15,sunday,spotify:track:7habewiVc8OrJuXd6o6rc1,0.636,0.466,-9.131,0.0417,0.105,0.147
16,Revvin' My Cj7,spotify:track:61bfqfc7ATEw5fU4KIiqwd,0.761,0.416,-9.312,0.0404,0.824,0.104
17,scorton's creek - re-imagined by filous,spotify:track:5uSwYU4V1hFDZYEHF87RmK,0.803,0.549,-7.565,0.124,0.22,0.112
18,PJ,spotify:track:1qxnmVbl8To9W9BcbTS8yC,0.959,0.649,-6.535,0.21,0.096,0.635
19,Find Someone,spotify:track:3nZBR8LOcyeKa9GO7ZdDoG,0.788,0.685,-5.874,0.028,0.0263,0.111
20,my ex's best friend (with blackbear),spotify:track:70rFIfYN7lU6iTgUIVP42w,0.728,0.685,-5.096,0.0433,0.00391,0.152
21,Self Care,spotify:track:5bJ1DrEM4hNCafcDd1oxHx,0.52,0.538,-8.109,0.206,0.367,0.119
22,Hot Rod,spotify:track:0zePbRMJ9sd7wsZRlbPQua,0.707,0.767,-7.072,0.0323,0.0279,0.169
23,Violent,spotify:track:7qILSK74RpSLZJPCgpkIUB,0.36,0.808,-1.844,0.0354,0.00289,0.104
24,Head & Heart (feat. MNEK),spotify:track:6cx06DFPPHchuUAcTxznu9,0.734,0.874,-3.158,0.0662,0.168,0.0489
25,Cable,spotify:track:7fApbiVxhaqfOsHMIvLqc3,0.776,0.392,-10.91,0.0651,0.573,0.107
26,Put Your Records On,spotify:track:1fah1uAs7HeTYDlNftKr3K,0.399,0.492,-10.777,0.0538,0.058,0.11
27,iloveyou,spotify:track:0ygr1n1Xk1UvWrzJXjVVng,0.633,0.588,-6.923,0.0533,0.108,0.317
28,Dionne (feat. Justin Vernon),spotify:track:15gL4n95OG5KEQLCMXPQzp,0.313,0.727,-6.104,0.0996,0.37,0.101
29,Something Has to Change,spotify:track:2KWI43agrQEFVLM3soOmKW,0.702,0.565,-8.863,0.0328,0.216,0.117
30,Lover,spotify:track:1dGr1c8CrMLDpV6mPbImSI,0.359,0.543,-7.582,0.0919,0.492,0.118
31,Can I Call You Tonight?,spotify:track:64lsIF5pw0sJY0gV5kz0RN,0.641,0.842,-7.27,0.0292,0.132,0.419
32,Stay Lost - Cabu Remix,spotify:track:3xy8karhdpkltgdwj9FGbQ,0.572,0.498,-10.484,0.431,0.0471,0.247
33,Seasons,spotify:track:0lPNNghhaDjzpOqZ1fMncZ,0.525,0.68,-7.576,0.0288,0.0182,0.0918
34,Pressure (with SG Lewis),spotify:track:04ToULF2xWTbVtfAUk6K7P,0.682,0.574,-5.241,0.0519,0.0355,0.254
35,Clouds & Cream,spotify:track:2YTrgbxNPcqzSXQY9acap9,0.659,0.89,-8.446,0.057,0.0816,0.112
36,Little Games,spotify:track:0nWWxoOmEPUtAHRiFOSAMc,0.571,0.817,-4.766,0.0436,0.000621,0.165
37,better friends,spotify:track:4gXuCnwOTEEQVYg1pIxHQq,0.659,0.621,-6.15,0.321,0.172,0.159
38,West Coast - The Young Professionals Minimal Remix,spotify:track:6pzXSdfviOZbLAVZAqmN7D,0.728,0.727,-5.191,0.0322,0.00783,0.105
