,name,uri,danceability,energy,loudness,speechiness,acousticness,liveness
0,I Don't Want to Talk About It - 2008 Remaster,spotify:track:2JWKzkQbYsNzx019WyGzaH,0.472,0.373,-12.98,0.0262,0.872,0.147
1,Perfect,spotify:track:0tgVpDi06FyKpA1z0VMD4v,0.599,0.448,-6.312,0.0232,0.163,0.106
2,Hot Tears,spotify:track:1aU0F8KL0vaKQacSMQRN9d,0.699,0.453,-9.67,0.0428,0.0622,0.0958
3,Without A Word,spotify:track:4e6dpHanuFVUxou9bKkLDN,0.579,0.171,-14.495,0.0303,0.901,0.111
4,Águas De Março,spotify:track:15ouqiBsgL12olEwP3COsH,0.654,0.393,-13.392,0.129,0.865,0.123
5,I'm Like A Bird,spotify:track:2ze7s5CrESggiWA3RpDYIy,0.622,0.616,-5.107,0.0349,0.147,0.218
6,Godspeed,spotify:track:5WfACgyEk4rwdWU3rrzNt1,0.395,0.174,-10.313,0.043,0.916,0.104
7,exile (feat. Bon Iver),spotify:track:4pvb0WLRcMtbPGmtejJJ6y,0.298,0.38,-8.426,0.0287,0.778,0.11
8,By My Side (feat. Rosie Carney),spotify:track:3N89qRJrSE6Cj0XunVhbru,0.437,0.108,-17.152,0.0312,0.936,0.11
9,Flotten,spotify:track:1oPUKK8x3T8O6KxBhblyHu,0.51,0.294,-17.615,0.0292,0.861,0.112
10,Against All Odds (Take a Look at Me Now) - 2016 Remaster,spotify:track:63CHa6rmamv9OsehkRD8oz,0.58,0.498,-6.901,0.0277,0.198,0.132
11,Beneath Your Beautiful (feat. Emeli Sandé),spotify:track:2EcsgXlxz99UMDSPg5T8RF,0.558,0.522,-5.857,0.036,0.228,0.104
12,When I Was Your Man,spotify:track:0nJW01T7XtvILxQgC5J7Wh,0.612,0.28,-8.648,0.0434,0.932,0.088
13,Video Killed The Radio Star,spotify:track:7o7E1nrHWncYY7PY94gCiX,0.68,0.678,-11.548,0.0754,0.103,0.204
14,Dancing In The Moonlight,spotify:track:55GxhCTq6SY3tFTVh7z1nR,0.653,0.719,-5.262,0.0363,0.684,0.408
15,When Doves Cry,spotify:track:51H2y6YrNNXcy3dfc3qSbA,0.729,0.989,-4.613,0.049,0.0102,0.443
16,Can We Still Be Friends? - 2015 Remaster,spotify:track:5MRIlJbi80rdC8mHUh5bpk,0.57,0.276,-13.47,0.0394,0.748,0.0836
17,Follow You Follow Me - 2007 Remaster,spotify:track:6gyU6PaPpzTCUYzZcVICwk,0.534,0.715,-9.988,0.0335,0.125,0.0761
18,In Too Deep,spotify:track:6sawhOATOEe0cGzXJfMJQE,0.688,0.505,-6.624,0.0251,0.475,0.0852
19,In Too Deep (feat. Kiana Ledé),spotify:track:3nGhp4FuIaitNYn4s7XHaX,0.661,0.29,-14.568,0.0453,0.605,0.0629
20,Coming Home,spotify:track:4xqYYY5VoaiwDuYJqx7Yo9,0.381,0.44,-11.258,0.0307,0.718,0.109
21,John My Beloved,spotify:track:4gKy8hIsmWOcspv6W1yTgy,0.422,0.0589,-21.116,0.0542,0.991,0.0801
22,Dynamite,spotify:track:0t1kP63rueHleOhQkYSXFY,0.746,0.765,-4.41,0.0993,0.0112,0.0936
23,Friends (feat. Bon Iver),spotify:track:0ZpBPavoID3eDbaXKSWpAD,0.457,0.477,-9.323,0.102,0.281,0.0914
24,8 (circle),spotify:track:47IklCMgkgWvI4jpkdrop0,0.404,0.408,-10.77,0.0349,0.911,0.117
25,So Cool,spotify:track:3GgdEZJy5bxm2ZjC90ibDC,0.58,0.469,-10.02,0.0332,0.57,0.193
26,Nobody,spotify:track:7KGhl55Ju1fu4983kFPjPa,0.877,0.178,-13.987,0.102,0.776,0.107
27,Babylon,spotify:track:5jLqVCGlKNYrLqCA1Qy4FV,0.737,0.543,-10.403,0.0374,0.0598,0.103
28,Father And Son,spotify:track:19slC7k8bsPOAKDjHYLU2W,0.499,0.33,-11.467,0.0348,0.589,0.102
29,"Baby, I Love Your Way - Live",spotify:track:1ksayCHVLH4eKFm43GFokU,0.518,0.786,-5.739,0.0357,0.448,0.7
30,Don't Dream It's Over,spotify:track:7G7tgVYORlDuVprcYHuFJh,0.439,0.422,-17.227,0.0409,0.0148,0.0697
31,Weather With You,spotify:track:6tXnRSvuNgOq4QcxpIN54r,0.643,0.614,-12.878,0.0279,0.25,0.214
32,Fallen,spotify:track:02HtMmMgd4SYJx76Alv71n,0.688,0.137,-21.644,0.0353,0.801,0.0629
33,That's Entertainment,spotify:track:7MH7TkjQ4RA1vG454dciw0,0.567,0.653,-11.524,0.0336,0.211,0.0639
34,I Won't Run From It,spotify:track:7aW3SM5qFJu0IYVOWrAvRQ,0.615,0.719,-8.194,0.0325,0.702,0.148
35,Lost Without You,spotify:track:3cWI6Hj9LQ0MfMuhw9uSMc,0.386,0.136,-9.267,0.0458,0.932,0.0653
36,AUATC,spotify:track:2X1PJ3l0wM4D42EiEdVh5W,0.38,0.416,-10.237,0.0383,0.886,0.156
37,Refiner,spotify:track:0bHcGi6iafYk4TUrqvDYya,0.342,0.18,-14.847,0.0364,0.872,0.145
38,Brave,spotify:track:6Uy6K3KdmUdAfelUp0SeXn,0.551,0.836,-3.838,0.0524,0.00502,0.0425
39,Gravity,spotify:track:4oa14QBfWRDfJy2agySy0L,0.27,0.275,-10.357,0.0356,0.834,0.146
40,We Find Love,spotify:track:1TPLsNVlofwX1txcE9gZZF,0.51,0.363,-8.635,0.0304,0.853,0.109
