,name,danceability,energy,loudness,speechiness,acousticness,liveness,tempo
0,tonight's no good how about wednesday oh you're in dallas on wednesday oh ok well then let's just not see each other for 8 months and it doesn't matter at all,0.402,0.452,-17.698,0.119,0.119,0.306,87.765
1,dropout,0.752,0.274,-11.269,0.146,0.453,0.155,141.039
2,fwb,0.697,0.544,-7.109,0.501,0.149,0.745,169.252
3,fuckboy,0.73,0.61,-7.784,0.238,0.373,0.144,146.572
4,nosering (feat. 50landing),0.731,0.248,-11.701,0.4,0.626,0.139,159.441
5,drank 3 of my parents' craft beers to make eye contact with you (feat. login),0.912,0.66,-9.961,0.301,0.613,0.715,119.95
6,rosier/punk2,0.521,0.254,-13.554,0.407,0.654,0.427,115.65
7,prozac,0.715,0.582,-7.863,0.364,0.251,0.836,98.5
8,ginger tea,0.437,0.451,-12.991,0.0602,0.196,0.21,144.494
9,brakence 2.0 freestyle (feat. Majent),0.592,0.406,-13.259,0.347,0.211,0.0966,96.76
10,sauceintherough - bonus track,0.74,0.463,-6.718,0.38,0.167,0.147,77.547
11,Circles,0.726,0.448,-11.754,0.36,0.393,0.104,118.975
12,Riri,0.812,0.628,-6.128,0.0327,0.0467,0.226,121.99
13,She Don't Dance,0.716,0.875,-4.664,0.0594,0.0213,0.535,109.991
14,Tommy Lee (feat. Post Malone),0.457,0.621,-5.923,0.138,0.218,0.0944,85.359
15,My High (Edit),0.747,0.796,-5.359,0.115,0.000411,0.0366,133.01
16,10 F*CKS (with Mansa),0.709,0.562,-10.326,0.116,0.048,0.207,88.027
17,3AM,0.88,0.67,-9.237,0.217,0.0928,0.064,116.016
18,Ballin' (with Roddy Ricch),0.809,0.545,-6.678,0.0735,0.392,0.151,97.008
19,Buss Down (feat. ZieZie),0.795,0.779,-5.413,0.177,0.109,0.0836,95.045
20,Don't Hurt Me,0.704,0.46,-10.559,0.416,0.0872,0.0833,126.388
21,London (feat. EO),0.743,0.651,-4.452,0.176,0.0316,0.0942,137.184
22,Man Down (feat. AlunaGeorge),0.726,0.665,-5.611,0.0722,0.299,0.179,104.239
23,No Bus,0.736,0.632,-5.92,0.251,0.179,0.0924,89.993
24,Praise The Lord (Da Shine) (feat. Skepta),0.854,0.569,-8.151,0.106,0.0609,0.1,80.015
25,Rapture,0.503,0.675,-6.782,0.254,0.0466,0.147,99.284
26,strangers,0.697,0.586,-6.485,0.13,0.00823,0.243,75.505
27,Taste (Make It Shake),0.761,0.442,-12.872,0.383,0.277,0.125,97.753
28,THRU THE NIGHT (feat. Bryson Tiller),0.88,0.58,-5.032,0.0438,0.016,0.0936,124.003
29,Toast,0.906,0.638,-7.917,0.256,0.0342,0.0725,99.959
30,Vossi Bop,0.682,0.653,-6.062,0.339,0.13,0.129,188.115
31,Toosie Slide,0.834,0.454,-9.75,0.201,0.321,0.114,81.618
32,After Party,0.629,0.692,-8.045,0.0376,0.00981,0.603,162.948
33,Rain,0.871,0.87,-4.797,0.202,0.0262,0.109,150.147
34,I WANNA SEE SOME ASS (feat. jetsonmade),0.899,0.691,-7.554,0.0497,0.18,0.135,107.951
35,Summer Sixteen,0.594,0.46,-7.607,0.382,0.00354,0.147,146.274
36,The Trade (feat. Jagged Edge & Jermaine Dupri),0.356,0.509,-7.359,0.327,0.18,0.0951,168.492
37,Stay,0.455,0.64,-4.701,0.188,0.019,0.0367,74.945
38,Don't Start Now,0.794,0.793,-4.521,0.0842,0.0125,0.0952,123.941
39,Hello (feat. Dragonette),0.666,0.975,-3.47,0.0345,0.0135,0.105,128.005
40,Sugar (feat. Francesco Yates),0.636,0.815,-5.098,0.0581,0.0185,0.163,123.063
41,Walls,0.358,0.718,-7.264,0.0871,0.0438,0.199,91.922
42,SAYONARA,0.548,0.63,-6.1,0.0343,0.0111,0.128,75.972
43,COULDN'T SAY SORRY (feat. blackbear),0.698,0.587,-7.296,0.151,0.24,0.387,110.228
44,do u even miss me at all?,0.819,0.519,-7.16,0.0768,0.384,0.0899,100.039
45,HIGH1X,0.852,0.384,-8.493,0.0602,0.0671,0.0852,98.517
46,One Touch,0.733,0.547,-7.79,0.0776,0.0309,0.0882,96.054
47,SANTA MONICA,0.708,0.667,-5.854,0.0356,0.16,0.183,145.976
48,Nevermind,0.6,0.688,-8.339,0.201,0.159,0.409,99.977
49,Going Bad (feat. Drake),0.889,0.496,-6.365,0.0905,0.259,0.252,86.003
50,DONTTRUSTME,0.791,0.713,-3.742,0.254,0.0163,0.189,130.012
51,Glamorous,0.81,0.755,-6.408,0.201,0.288,0.0857,130.99
52,MAMA,0.761,0.672,-5.887,0.212,0.0893,0.14,160.077
53,In Da Club,0.902,0.72,-2.776,0.347,0.26,0.0749,90.059
54,Like A G6,0.435,0.837,-8.126,0.449,0.00676,0.117,124.913
55,Letting Go (Dutty Love) featuring Nicki Minaj (feat. Nicki Minaj),0.792,0.808,-4.156,0.0963,0.335,0.269,92.064
56,Round Whippin',0.605,0.558,-9.028,0.0365,0.00938,0.85,139.947
57,Heartbeat,0.8,0.569,-6.843,0.119,0.00545,0.0542,119.954
58,High You Are,0.69,0.857,-5.613,0.0405,0.0557,0.0341,136.99
