,name,danceability,energy,loudness,speechiness,acousticness,liveness,tempo
59,Coming Over (feat. James Hersey),0.631,0.661,-5.5,0.0999,0.227,0.166,174.031
60,Hold You - Hold Yuh,0.69,0.621,-3.583,0.06,0.321,0.0884,66.858
61,Ni**as In Paris,0.757,0.882,-6.125,0.248,0.0763,0.251,140.047
62,"F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)",0.869,0.687,-6.816,0.263,0.0208,0.114,96.006
63,She Will,0.464,0.827,-5.176,0.0943,0.000186,0.238,99.456
64,Herside Story,0.885,0.595,-5.487,0.286,0.656,0.105,148.034
65,Doses & Mimosas,0.775,0.655,-7.333,0.102,0.114,0.035,114.503
66,All My Friends (feat. Tinashe & Chance the Rapper),0.689,0.521,-5.845,0.132,0.119,0.108,95.055
67,American Boy,0.727,0.729,-2.99,0.326,0.171,0.07,117.932
68,I Don't Fuck With You,0.824,0.733,-5.474,0.0613,0.0362,0.325,97.972
69,"Flex (Ooh, Ooh, Ooh)",0.728,0.62,-7.533,0.0434,0.038,0.342,81.998
70,Wanna Know Remix (feat. Drake),0.717,0.507,-8.595,0.0445,0.0741,0.241,100.017
71,Right Now,0.408,0.72,-3.045,0.136,0.0122,0.507,83.496
72,Blem,0.726,0.535,-7.804,0.0476,0.0533,0.0984,98.067
73,Gyalchester,0.877,0.391,-8.196,0.063,0.0317,0.0945,131.018
74,Fake Love,0.928,0.481,-9.35,0.287,0.105,0.176,134.007
75,goosebumps,0.841,0.728,-3.37,0.0484,0.0847,0.149,130.049
76,The Hills,0.585,0.564,-7.063,0.0515,0.0671,0.135,113.003
77,Can't Feel My Face,0.705,0.769,-5.526,0.0425,0.113,0.105,107.949
78,Patient,0.743,0.662,-6.108,0.179,0.565,0.128,89.975
79,i miss the old u,0.72,0.805,-5.264,0.325,0.293,0.528,133.066
80,Ms. Jackson,0.843,0.806,-5.946,0.269,0.143,0.0771,94.948
81,BUTTERFLY EFFECT,0.763,0.628,-5.85,0.05,0.0531,0.114,140.958
82,Dímelo,0.566,0.444,-12.069,0.147,0.0522,0.158,146.991
83,sniffing vicodin in paris,0.723,0.594,-9.196,0.178,0.0165,0.952,139.878
84,Like Glue,0.757,0.78,-5.038,0.319,0.0811,0.113,97.917
85,Movements,0.824,0.538,-7.972,0.269,0.26,0.13,110.879
86,Over,0.35,0.845,-5.614,0.2,0.0107,0.123,99.643
87,The Trouble With Us,0.828,0.735,-4.929,0.0636,0.323,0.159,121.094
88,Selfish,0.691,0.553,-7.107,0.0341,0.377,0.108,102.045
89,BagBak,0.76,0.828,-4.532,0.0789,0.0478,0.0893,82.006
90,One Dance,0.792,0.625,-5.609,0.0536,0.00776,0.329,103.967
91,Beautiful Girls,0.762,0.661,-6.075,0.0687,0.15,0.256,130.009
92,Calm Down,0.537,0.624,-8.794,0.325,0.000175,0.116,102.315
93,Collard Greens,0.825,0.575,-4.87,0.0633,0.025,0.205,153.954
94,The Way I Are,0.731,0.807,-6.492,0.1,0.181,0.319,114.759
95,ROCKSTAR (feat. Roddy Ricch),0.746,0.69,-7.956,0.164,0.247,0.101,89.977
96,Money In The Grave (Drake ft. Rick Ross),0.831,0.502,-4.045,0.046,0.101,0.122,100.541
97,It Wasn't Me,0.852,0.604,-4.569,0.0642,0.0503,0.327,94.762
98,Higher (feat. Chance the Rapper & Blue Hawaii) - Remix,0.74,0.729,-3.988,0.183,0.0747,0.0479,119.939
99,Love Me,0.719,0.538,-6.897,0.28,0.632,0.135,204.132
100,Tinted Eyes (feat. blackbear & 24kGoldn),0.743,0.801,-4.097,0.0343,0.00598,0.178,121.965
101,Dream Girl - Remix,0.767,0.643,-5.225,0.101,0.216,0.0806,169.99
102,You Know You Like It,0.407,0.725,-5.346,0.188,0.0141,0.306,196.093
103,Paper Planes,0.447,0.848,-6.175,0.222,0.033,0.65,172.247
104,Laugh Now Cry Later (feat. Lil Durk),0.761,0.518,-8.871,0.134,0.244,0.107,133.976
105,Till Now,0.575,0.335,-5.202,0.0675,0.19,0.12,115.513
106,Gimme,0.762,0.619,-5.227,0.102,0.501,0.248,120.022
107,Contaminated,0.475,0.322,-7.401,0.0481,0.732,0.107,76.604
108,Stroke,0.449,0.731,-4.641,0.291,0.642,0.298,78.57
109,Godless,0.385,0.692,-4.843,0.158,0.0242,0.11,155.794
110,Sawzall,0.529,0.239,-9.162,0.0504,0.813,0.104,120.919
111,Look What You're Doing To Me,0.612,0.582,-4.815,0.0325,0.57,0.0995,92.036
112,Hawaiian Mazes,0.652,0.687,-5.955,0.136,0.351,0.164,145.002
113,Alaska,0.641,0.446,-8.861,0.25,0.699,0.229,172.116
114,Propaganda,0.717,0.712,-4.92,0.072,0.394,0.096,109.871
115,The Fall,0.423,0.653,-4.238,0.0567,0.4,0.269,112.128
116,If We Were Made Of Water,0.4,0.306,-11.275,0.0411,0.866,0.374,93.202
117,What About Love,0.391,0.183,-9.831,0.031,0.924,0.425,111.875
118,Cars,0.546,0.578,-8.745,0.0406,0.0114,0.0692,128.037
119,Tainted Love,0.5,0.501,-8.284,0.0376,0.462,0.26,144.438
120,Sweet Dreams (Are Made of This) - Remastered,0.692,0.711,-7.498,0.0317,0.225,0.12,125.135
121,Take on Me,0.573,0.902,-7.638,0.054,0.018,0.0928,84.412
122,You Spin Me Round (Like a Record),0.567,0.943,-7.992,0.0387,0.0308,0.544,128.207
123,The Safety Dance,0.779,0.742,-8.534,0.0368,0.0463,0.157,100.2
124,Just Can't Get Enough - 2006 Remaster,0.765,0.766,-9.374,0.0348,0.41,0.177,128.177
125,What Is Love,0.69,0.805,-5.979,0.0329,0.0196,0.281,123.871
126,Beautiful Life,0.749,0.988,-5.266,0.0387,0.202,0.17,135.015
127,Where Do You Go,0.673,0.895,-6.241,0.0317,0.0153,0.128,127.053
128,Be My Lover,0.658,0.963,-3.283,0.0326,0.00283,0.951,134.798
129,Friends,0.628,0.668,-5.935,0.263,0.288,0.622,138.865
130,For the F^_^k Of It (feat. Jeremih & Aminé),0.826,0.634,-4.0,0.122,0.402,0.293,147.996
131,How To Build A Relationship,0.765,0.814,-3.399,0.434,0.0979,0.339,103.023
132,1 SIDED LOVE,0.584,0.42,-7.827,0.0322,0.236,0.119,90.051
133,Whole Lotta Lovin',0.51,0.398,-8.75,0.0558,0.135,0.0634,119.973
134,weak when ur around,0.769,0.323,-12.887,0.0524,0.678,0.116,94.977
135,Shape of You,0.825,0.652,-3.183,0.0802,0.581,0.0931,95.977
136,This Could Be Us,0.732,0.69,-4.992,0.134,0.291,0.116,143.072
137,Party Girls,0.639,0.627,-6.111,0.0494,0.0535,0.275,129.886
138,Man Of The Year,0.749,0.865,-5.228,0.0413,0.00536,0.198,111.914
139,Love Is Alive,0.676,0.5,-6.878,0.0412,0.701,0.596,97.863
140,Fire,0.386,0.714,-5.597,0.381,0.263,0.233,89.807
141,It's Strange (feat. K.Flay),0.837,0.492,-7.792,0.354,0.371,0.102,85.951
142,Almost (Sweet Music),0.427,0.689,-5.589,0.135,0.021,0.203,88.875
143,Xion,0.865,0.543,-6.053,0.3,0.532,0.108,90.033
144,Freaks And Geeks,0.667,0.873,-5.605,0.314,0.124,0.0725,81.052
145,Aries (YuGo) Part 2 (with Rae Sremmurd & Big Sean feat. Quavo & Pharrell),0.871,0.552,-4.953,0.0509,0.128,0.272,141.973
146,Planez,0.688,0.556,-7.738,0.264,0.7,0.108,129.336
147,Shake Something (feat. Joey Purp),0.895,0.525,-7.969,0.186,0.0925,0.585,87.999
148,I Like Me Better,0.752,0.505,-7.621,0.253,0.535,0.104,91.97
149,Good Nights (feat. Mascolo),0.849,0.483,-7.114,0.291,0.443,0.0786,101.015
150,Weekend,0.684,0.774,-5.951,0.188,0.26,0.108,84.991
151,Last To Leave (feat. Caroline Ailin),0.753,0.602,-6.326,0.149,0.052,0.102,94.056
152,"Bitch, Don’t Kill My Vibe",0.587,0.698,-8.948,0.0943,0.0152,0.442,133.954
153,Summer Bummer - Snakehips Remix,0.65,0.583,-7.535,0.223,0.455,0.647,135.026
154,Signs,0.794,0.735,-4.204,0.054,0.108,0.112,107.374
155,Not Nice,0.598,0.496,-9.309,0.0804,0.0253,0.12,128.06
156,White Girls,0.618,0.574,-7.134,0.0658,0.152,0.264,112.886
157,Apple Pie,0.655,0.496,-4.139,0.0364,0.0335,0.156,137.945
158,helpline (feat. Tom Tripp),0.63,0.738,-6.382,0.0786,0.0277,0.339,94.915
159,Not the Same,0.79,0.606,-5.457,0.0501,0.341,0.0697,117.963
160,One Day / Reckoning Song (Wankelmut Remix) [Radio Edit],0.821,0.676,-6.366,0.0547,0.187,0.0927,119.012
161,Know No Better,0.738,0.814,-4.414,0.0999,0.132,0.126,119.041
162,Friends,0.703,0.674,-5.515,0.0291,0.0389,0.331,108.065
163,All Around The World (feat. Desiigner),0.763,0.542,-7.028,0.044,0.457,0.185,132.016
164,BagBak,0.762,0.81,-4.528,0.101,0.0463,0.146,81.984
165,Litty (feat. Tory Lanez),0.592,0.701,-4.014,0.0858,0.0451,0.327,129.501
166,It's A Vibe,0.803,0.488,-7.564,0.18,0.0313,0.112,72.913
167,Sloppy Toppy,0.772,0.624,-4.391,0.0477,0.179,0.352,125.015
168,Drank in My Cup,0.451,0.632,-7.98,0.297,0.0114,0.198,132.89
169,Break from Toronto,0.596,0.678,-5.18,0.0335,0.0199,0.418,117.066
170,It's Lit (feat. IAMSU!),0.84,0.537,-8.277,0.0578,0.161,0.0872,111.027
171,Been On,0.609,0.655,-7.985,0.507,0.105,0.0939,160.415
172,Kanye West (feat. Wyclef Jean),0.851,0.614,-6.668,0.1,0.046,0.0716,107.971
173,Goldie,0.68,0.843,-4.919,0.241,0.22,0.378,81.958
174,You Got Me,0.745,0.635,-9.735,0.269,0.013,0.06,94.868
175,Shape of You,0.825,0.652,-3.183,0.0802,0.581,0.0931,95.977
176,Don't Hurt Me,0.643,0.465,-10.562,0.461,0.107,0.0857,126.79
177,Love$ick,0.629,0.772,-5.056,0.158,0.12,0.265,88.547
178,Alive (Nightmare),0.71,0.808,-4.877,0.0418,0.27,0.208,101.784
179,Real Chill,0.842,0.609,-5.867,0.19,0.0443,0.106,129.942
180,I Can't Make You Happy,0.647,0.464,-10.306,0.182,0.644,0.176,97.843
181,Skeletons,0.774,0.395,-9.048,0.0812,0.173,0.103,80.012
182,Insert Love Song Here,0.653,0.384,-8.854,0.186,0.306,0.126,117.991
183,I Know You Hate Me,0.767,0.475,-6.74,0.0464,0.367,0.232,140.029
184,Pop Tracks & Love Songs,0.751,0.464,-7.297,0.0702,0.542,0.123,149.999
185,3am in Chicago,0.76,0.628,-6.75,0.0428,0.127,0.0632,105.992
186,Next,0.595,0.57,-11.663,0.369,0.313,0.265,112.936
187,Remember the Name (feat. Styles of Beyond),0.688,0.835,-4.162,0.0911,0.0583,0.0795,84.858
188,"Never Recover (Lil Baby & Gunna, Drake)",0.753,0.686,-5.415,0.284,0.0677,0.193,132.055
189,Wild for the Night (feat. Skrillex & Birdy Nam Nam),0.756,0.857,-4.185,0.336,0.0452,0.121,140.017
190,God / Guard Up,0.557,0.432,-8.628,0.0925,0.469,0.0878,135.014
191,Reverse (Ft. G-Eazy),0.836,0.703,-4.732,0.107,0.0301,0.124,144.959
192,Hell Of A Night,0.652,0.836,-7.179,0.153,0.377,0.138,123.946
193,Love Sosa,0.772,0.413,-8.193,0.089,0.0361,0.111,131.965
194,No Hands (Remix) (Feat. Waka Flocka & Roscoe Dash),0.736,0.25,-17.238,0.191,0.0546,0.427,132.959
195,Hate Bein' Sober,0.82,0.47,-7.181,0.0458,0.00435,0.141,132.003
196,Don't Like.1,0.668,0.628,-5.327,0.205,0.00822,0.145,131.88
197,Forever,0.415,0.926,-1.304,0.374,0.253,0.256,158.423
198,'Till I Collapse,0.548,0.847,-3.237,0.186,0.0622,0.0816,171.447
199,"Lose Yourself - From ""8 Mile"" Soundtrack",0.692,0.744,-4.565,0.257,0.00868,0.359,171.374
200,0 To 100 / The Catch Up,0.559,0.716,-3.964,0.39,0.737,0.252,176.618
201,Ni**as In Paris,0.788,0.859,-5.542,0.315,0.127,0.348,140.027
202,Bitch Better Have My Money,0.781,0.728,-4.981,0.0621,0.0509,0.257,102.99
203,Clique,0.704,0.569,-4.998,0.247,0.0488,0.191,109.314
204,Up All Night,0.606,0.811,-4.667,0.278,0.00782,0.349,156.347
205,"Trouble on My Mind (feat. Tyler, The Creator)",0.652,0.78,-5.995,0.363,0.0743,0.378,172.205
206,Power Trip (feat. Miguel),0.667,0.61,-7.054,0.217,0.322,0.426,99.991
207,Yuck,0.619,0.798,-5.517,0.381,0.168,0.17,156.151
208,Company,0.651,0.55,-8.215,0.0496,0.0403,0.165,107.567
209,Deadman,0.427,0.737,-6.652,0.129,0.000134,0.349,92.025
210,Plain Jane,0.797,0.844,-5.482,0.275,0.0651,0.087,170.142
211,502 Come Up,0.59,0.66,-5.559,0.11,0.192,0.108,119.059
212,Still Cold / Pathway Private,0.762,0.41,-11.979,0.0551,0.278,0.157,100.047
213,Elevator (feat. Timbaland),0.812,0.874,-6.015,0.0905,0.109,0.214,120.025
214,Bone Marrow (feat. Danny Seth),0.685,0.713,-6.695,0.203,0.0989,0.262,151.973
215,Thug Panda,0.736,0.663,-6.088,0.135,0.0109,0.139,180.033
216,One Of Them (feat. Big Sean),0.597,0.724,-7.764,0.0487,0.00268,0.111,110.012
217,Bricks (feat. Migos),0.8,0.706,-6.134,0.327,0.198,0.118,145.938
218,No Chill,0.498,0.835,-5.042,0.294,0.144,0.16,141.134
219,There's Alot Going On,0.578,0.77,-5.096,0.413,0.0906,0.243,133.917
220,Countdown,0.665,0.787,-5.73,0.151,0.308,0.219,167.349
221,Pray 4 Love (feat. The Weeknd),0.629,0.578,-4.704,0.0428,0.2,0.151,79.94
222,Both (feat. Drake & Lil Wayne) - Remix,0.834,0.493,-6.567,0.128,0.0606,0.0666,140.007
223,Man Listen,0.771,0.662,-6.535,0.233,0.0506,0.339,177.916
224,Panda,0.685,0.731,-5.503,0.414,0.0292,0.369,145.245
225,Babylon (feat. Denzel Curry),0.736,0.891,-4.342,0.0586,0.0374,0.347,130.055
226,0 To 100 / The Catch Up,0.559,0.716,-3.964,0.39,0.737,0.252,176.618
227,Blocka,0.797,0.447,-9.244,0.137,0.0119,0.0875,127.946
228,Beggin',0.731,0.718,-7.51,0.0672,0.0226,0.0518,129.053
229,Champions,0.692,0.774,-2.48,0.0876,0.0623,0.873,134.952
230,All Your Fault,0.815,0.738,-4.395,0.214,0.308,0.275,100.095
231,Stronger,0.625,0.726,-7.731,0.155,0.00728,0.318,103.98
232,How We Do,0.862,0.648,-7.401,0.251,0.0455,0.0332,98.012
233,Treehouse,0.905,0.57,-9.114,0.333,0.172,0.0982,134.989
234,Random,0.607,0.783,-6.891,0.139,0.0036,0.216,87.026
235,Back To Back,0.893,0.48,-3.728,0.356,0.00855,0.116,86.976
236,You Don't Know,0.767,0.864,-1.847,0.133,0.0116,0.0957,85.475
237,Get Up,0.707,0.885,-2.635,0.174,0.0303,0.311,92.435
238,Wow.,0.833,0.539,-7.399,0.178,0.163,0.101,99.947
239,Trophies,0.746,0.687,-7.475,0.382,0.155,0.137,143.931
240,Worldwide Choppers,0.746,0.853,-4.452,0.13,0.00285,0.376,130.028
241,Spaceman - Carnage Festival Trap Remix,0.712,0.497,-8.976,0.0777,0.0235,0.101,139.987
242,Blame,0.624,0.68,-7.285,0.0421,0.114,0.0614,91.998
243,Pull Up,0.737,0.805,-6.106,0.213,0.122,0.259,89.006
244,ADD,0.752,0.624,-4.789,0.0759,0.353,0.358,140.067
245,WHATS POPPIN,0.923,0.604,-6.671,0.245,0.017,0.272,145.062
246,Hot Sauce,0.75,0.629,-7.623,0.373,0.246,0.225,74.793
247,All I Want,0.209,0.412,-9.733,0.0443,0.172,0.0843,86.26
248,High Hopes,0.488,0.487,-6.371,0.0307,0.577,0.193,77.344
249,An Evening I Will Not Forget / Furthest Thing,0.489,0.261,-15.061,0.0474,0.741,0.192,121.338
250,Swim Good,0.398,0.149,-14.398,0.0602,0.904,0.115,80.523
251,Angel of Small Death and the Codeine Scene,0.52,0.643,-5.761,0.0432,0.198,0.12,94.078
252,From Eden,0.399,0.672,-5.506,0.05,0.584,0.118,142.215
253,Oceans,0.372,0.462,-9.1,0.0317,0.267,0.101,129.026
254,Atlantis,0.4,0.479,-7.989,0.0308,0.0529,0.115,166.159
255,I Found,0.389,0.302,-12.485,0.0438,0.862,0.104,124.956
256,5AM,0.357,0.434,-11.521,0.0418,0.244,0.0808,145.743
257,Skinny Love,0.593,0.263,-14.029,0.0567,0.844,0.127,76.379
258,Holocene,0.375,0.304,-14.52,0.0302,0.943,0.126,147.989
259,715 - CR∑∑KS,0.461,0.161,-11.145,0.405,0.878,0.17,88.781
260,Be There,0.376,0.474,-9.436,0.0338,0.0364,0.114,180.196
261,Give Me Something,0.557,0.439,-11.153,0.0379,0.833,0.108,131.667
262,Someone New,0.593,0.539,-5.946,0.0349,0.407,0.286,91.98
263,Marvins Room,0.492,0.26,-17.341,0.0921,0.646,0.0705,111.519
264,I Fall Apart,0.556,0.538,-5.408,0.0382,0.0689,0.196,143.95
265,IFHY (feat. Pharrell),0.36,0.716,-6.181,0.34,0.2,0.581,86.001
266,Preach,0.605,0.51,-8.094,0.423,0.165,0.104,65.255
267,idfc,0.63,0.5,-8.755,0.0611,0.611,0.114,144.871
268,Stay,0.507,0.48,-5.418,0.0266,0.449,0.147,86.046
269,"i hate u, i love u (feat. olivia o'brien)",0.492,0.275,-13.4,0.3,0.687,0.101,92.6
270,Unsteady,0.389,0.665,-6.169,0.0644,0.178,0.116,117.055
271,Happier,0.522,0.385,-7.355,0.0288,0.536,0.135,89.792
272,Little Talks,0.445,0.757,-5.177,0.0322,0.0206,0.146,102.878
273,Bloom - Bonus Track,0.592,0.416,-9.794,0.0246,0.882,0.112,96.002
274,A closeness,0.526,0.458,-9.472,0.0384,0.766,0.109,76.972
275,Peak,0.689,0.217,-13.539,0.0387,0.847,0.106,92.007
276,Hallucinogenics,0.608,0.601,-8.44,0.0507,0.472,0.242,121.656
277,Tessellate - Bonus Track,0.628,0.28,-10.843,0.0495,0.907,0.151,129.736
278,Don't,0.765,0.356,-5.556,0.195,0.223,0.0963,96.991
279,Still,0.497,0.324,-9.832,0.0352,0.744,0.0751,130.729
280,Water Me,0.476,0.452,-10.761,0.0984,0.655,0.141,120.287
281,King City,0.55,0.578,-8.568,0.036,0.193,0.0904,104.495
282,g2g ttyl (feat. THEY.),0.5,0.39,-5.686,0.142,0.467,0.132,74.889
283,Riptide,0.484,0.731,-6.694,0.0379,0.431,0.151,101.654
284,Lens,0.681,0.333,-8.582,0.0974,0.588,0.086,118.05
285,Recognize (feat. Drake),0.643,0.541,-5.801,0.0426,0.0102,0.102,119.499
286,Gettin' Old,0.742,0.396,-12.475,0.0622,0.398,0.111,79.978
287,Everglow,0.425,0.257,-8.467,0.0321,0.968,0.115,144.479
288,Shiver,0.397,0.803,-6.186,0.0488,0.0334,0.0688,116.707
289,Trouble,0.565,0.546,-7.496,0.0314,0.189,0.17,139.757
290,Midnight,0.548,0.475,-12.42,0.0355,0.615,0.0944,126.974
291,The Scientist,0.557,0.442,-7.224,0.0243,0.731,0.11,146.277
292,Say You Won't Let Go,0.358,0.557,-7.398,0.059,0.695,0.0902,85.043
293,Ooh Love,0.517,0.833,-5.638,0.0596,0.0236,0.234,172.012
294,Precious,0.64,0.477,-9.193,0.0479,0.369,0.111,117.005
295,Mind Games,0.386,0.339,-10.09,0.0374,0.631,0.109,95.689
296,Brain,0.526,0.493,-8.636,0.0316,0.268,0.13,89.959
297,Solo,0.444,0.287,-10.631,0.0375,0.849,0.161,124.027
298,Big Black Car,0.572,0.183,-16.069,0.0323,0.897,0.103,110.029
299,The Stable Song,0.625,0.432,-11.948,0.0283,0.633,0.127,137.926
300,Work Song,0.531,0.359,-7.672,0.0619,0.749,0.112,121.249
301,Breakeven,0.63,0.696,-4.501,0.0242,0.144,0.0835,94.034
302,Let Her Go,0.479,0.545,-7.346,0.0688,0.365,0.0963,74.897
303,Let It Go,0.546,0.311,-10.396,0.0288,0.818,0.107,147.464
304,Take Me to Church,0.566,0.664,-5.303,0.0464,0.634,0.116,128.945
305,Some Nights (2.0 Refix),0.538,0.414,-14.157,0.0813,0.236,0.107,160.293
306,"Heartless - Recorded At RAK Studios, London",0.444,0.535,-7.051,0.055,0.226,0.212,88.033
307,Lucid Dreams,0.511,0.566,-7.23,0.2,0.349,0.34,83.903
308,Inhale Deep,0.78,0.811,-4.821,0.178,0.21,0.13,95.001
309,Moments Passed,0.378,0.723,-6.961,0.066,0.0514,0.0999,119.809
310,Wings - Shlohmo Remix,0.292,0.71,-7.322,0.0457,0.0189,0.0769,119.934
311,XX,0.627,0.412,-12.067,0.0425,0.089,0.133,104.919
312,Intro,0.617,0.778,-8.871,0.027,0.459,0.128,100.363
313,Cocoon,0.743,0.659,-6.755,0.0343,0.0998,0.0622,114.033
314,Flashed Junk Mind,0.839,0.84,-8.721,0.0474,0.389,0.114,117.98
315,valley girls,0.574,0.456,-9.435,0.0865,0.395,0.161,149.945
316,Ophelia,0.664,0.573,-6.482,0.0276,0.603,0.0915,76.371
317,Stupid Deep,0.362,0.377,-9.713,0.0339,0.732,0.127,137.891
318,Mah's Joint (feat. Quincy Jones),0.271,0.474,-9.718,0.0498,0.317,0.097,177.907
319,How I Met My Ex,0.683,0.534,-9.111,0.476,0.557,0.0745,86.186
320,sunder,0.593,0.6,-6.104,0.691,0.705,0.127,77.448
321,Over Now (with The Weeknd),0.612,0.884,-4.113,0.0454,0.0759,0.247,178.043
322,Giant (with Rag'n'Bone Man),0.807,0.887,-4.311,0.0361,0.016,0.0811,122.015
323,Promises - David Guetta Remix,0.588,0.697,-4.744,0.0372,0.186,0.103,125.157
324,Promises - Sonny Fodera Remix,0.772,0.849,-7.301,0.0478,0.0197,0.0817,122.996
325,Promises (with Sam Smith),0.781,0.768,-5.991,0.0394,0.0119,0.325,123.07
326,One Kiss - R3HAB Remix,0.59,0.919,-3.314,0.146,0.158,0.0595,126.926
327,Let It Go,0.505,0.827,-3.629,0.0796,0.00976,0.0965,130.11
328,How You've Been,0.639,0.744,-6.666,0.0446,0.0897,0.0728,114.151
329,What You Do,0.64,0.896,-3.476,0.0778,0.0757,0.346,127.858
330,Hold On Tight,0.326,0.647,-7.131,0.0455,0.454,0.179,88.523
331,Introduction (instructions),0.678,0.481,-20.18,0.92,0.868,0.431,88.828
332,"ALONE, PART 3",0.61,0.258,-12.758,0.0331,0.883,0.103,127.08
