,name,uri,danceability,energy,loudness,speechiness,acousticness,liveness
0,Bigger,spotify:track:77kfOaLb3jneS0lCbc9AMA,0.78,0.733,-2.851,0.112,0.166,0.341
1,Fly Together (Remix),spotify:track:5ag7xS3UmNnwZk9AVPahmU,0.426,0.861,-4.834,0.329,0.327,0.327
2,Lasting Lover - Acoustic,spotify:track:0TGU6ELkO9MRv7aHL3QVrl,0.554,0.378,-6.7,0.0302,0.868,0.11
3,Back To You (feat. Chris Brown & Charlie Wilson),spotify:track:5Iz8xVGbOEWlLpM4JWozT2,0.645,0.764,-3.069,0.148,0.0378,0.132
4,Dream Girl - Global Remix,spotify:track:5Etwr8GddDDAwuTK84m5JI,0.605,0.736,-4.609,0.271,0.1,0.169
5,Rain (feat. Swae Lee),spotify:track:1pZwFpiLKrSfNtXs6WQLlf,0.618,0.416,-9.077,0.0772,0.733,0.106
6,Paid Off,spotify:track:7Ai70wSpUnJ7n0w6oqENws,0.91,0.324,-8.522,0.102,0.18,0.0941
7,Alone (feat. A Boogie Wit da Hoodie),spotify:track:75T7wWkAW4hcch4lg1p8Zk,0.567,0.481,-7.432,0.283,0.436,0.105
8,Pretty,spotify:track:6e4f88p8OxpqtbYywLAIbz,0.599,0.336,-12.528,0.0572,0.86,0.111
9,Let Me Know,spotify:track:0dJhXJKZTpiaxTUc7uItIN,0.743,0.548,-6.545,0.0947,0.175,0.088
10,Valentine's Day (Shameful),spotify:track:6GCRnf1W9OKxok9fvNp3pz,0.503,0.411,-10.602,0.387,0.578,0.101
11,Innocence,spotify:track:0gim01kKtr7rfWhb2CtvDx,0.447,0.468,-8.892,0.323,0.679,0.0785
12,Got It On Me,spotify:track:25zlnOAzbVoOzIeXSvQFf1,0.688,0.647,-7.258,0.19,0.00815,0.095
13,The Real Her,spotify:track:7csi0PZxAyKmaC19KWMFqR,0.567,0.309,-14.254,0.385,0.166,0.12
14,CPR,spotify:track:5Tp4UJvnsF4Zd05k0zXUte,0.693,0.369,-12.683,0.175,0.637,0.0951
15,She Knows About Me,spotify:track:2bxG0N7YsdkIBfuLsE0J8i,0.445,0.541,-7.407,0.0816,0.751,0.199
