,name,uri,danceability,energy,loudness,speechiness,acousticness,liveness
0,Jambi,spotify:track:2gbPu2QNqhnnqtfK3yyeZ0,0.475,0.831,-7.419,0.0505,0.000145,0.346
1,Descending,spotify:track:0aTiUssEOy0Mt69bsavj6K,0.33,0.61,-9.571,0.0493,0.00219,0.107
2,7empest,spotify:track:0gGfmw4csswZmFPj9YK8GW,0.323,0.803,-7.397,0.0369,7.35e-05,0.0957
3,Pull Me Under,spotify:track:5CPXR6lDTvngxtmMZxnWmC,0.532,0.941,-9.025,0.0465,0.000579,0.15
4,Forty Six & 2,spotify:track:6AioOohg4bQZFA4jIYQQ2r,0.375,0.682,-6.901,0.0364,0.00155,0.0897
5,Lateralus,spotify:track:7tvuLLroI0n6uYBWuFig5d,0.387,0.678,-8.399,0.0817,0.00108,0.101
6,Parabola,spotify:track:1vxu8vMNshg5J8z3oA7QJZ,0.314,0.93,-6.237,0.105,2.01e-05,0.139
7,The Grudge,spotify:track:6ZsZxNP4Iwdyp3kd5oFFQN,0.456,0.795,-7.408,0.0363,0.000159,0.269
8,Schism,spotify:track:55mJleti2WfWEFNFcBduhc,0.567,0.714,-8.512,0.0302,0.0012,0.186
9,Rosetta Stoned,spotify:track:0D8l86LXxKcgKAO17DfQsl,0.381,0.82,-6.418,0.0398,0.000249,0.152
10,Vicarious,spotify:track:65ShmiE5aLBdcIGr7tHX35,0.506,0.877,-5.73,0.032,5.16e-05,0.0712
11,The Pot,spotify:track:1lATXTBJDHwawvT1UfxWu3,0.469,0.79,-6.889,0.0391,0.000148,0.282
12,Right In Two,spotify:track:0NLDZzVke3Qu7vDhWyGzRk,0.44,0.568,-8.54,0.0293,0.00442,0.119
13,Sober,spotify:track:6DyywdbmTzlmXBzG9ym7Rt,0.385,0.673,-8.182,0.0329,0.000183,0.0699
14,Pneuma,spotify:track:03sEzk1VyrUZSgyhoQR0LZ,0.417,0.529,-9.338,0.0315,0.00211,0.11
15,Invincible,spotify:track:2xKDKtJBLDPd7BF3VmSQQO,0.461,0.566,-9.133,0.0566,0.00989,0.109
16,Be Yourself,spotify:track:3zwmW1gM4E8FlHXV5nE16u,0.423,0.845,-3.509,0.0559,0.143,0.213
17,House Of The Rising Sun,spotify:track:7BY005dacJkbO6EPiOh2wb,0.295,0.584,-6.696,0.0345,0.000385,0.0996
18,Society,spotify:track:3bHhUEOTIbezeZ856R0BX5,0.561,0.327,-10.835,0.0327,0.902,0.111
19,Better Man,spotify:track:2B98ljvzqpCVgt5reTHq28,0.445,0.671,-7.937,0.0387,0.165,0.0791
20,Wind Of Change,spotify:track:3ovjw5HZZv43SxTwApooCM,0.452,0.524,-10.108,0.0351,0.315,0.103
21,Black Magic Woman - Single Version,spotify:track:4YMQXzscifAREG0a7KNGhB,0.489,0.349,-14.295,0.0323,0.676,0.0866
22,Don't Cry (Original),spotify:track:2ZDB65BSnM9zMEGr7IJn7o,0.449,0.618,-7.63,0.0336,0.00187,0.102
23,Have a Cigar,spotify:track:3CmHvyZQQAGkKkTjTBFWN6,0.454,0.65,-10.191,0.0437,0.407,0.589
24,Kings,spotify:track:6V4vufRraefNq5DYDjICRS,0.614,0.63,-10.497,0.0475,0.481,0.138
25,Yellow Moon,spotify:track:4Ka1IL0p2YhEwH0fY1lAnk,0.43,0.636,-7.943,0.0298,0.0192,0.117
26,Sirens,spotify:track:1cAMXz9mnvrqyQLSG4KeeE,0.523,0.847,-5.888,0.028,0.00309,0.146
27,(Don't Fear) The Reaper,spotify:track:5QTxFnGygVM4jFQiBovmRo,0.333,0.927,-8.55,0.0733,0.0029,0.297
28,Hey Joe,spotify:track:0NWPxcsf5vdjdiFUI8NgkP,0.346,0.768,-5.695,0.0377,0.00603,0.0244
29,Cry For The Bad Man,spotify:track:2H9gkVbAVuuqpWFxjZOeUj,0.62,0.688,-9.09,0.0539,0.044,0.112
30,Gimme Shelter,spotify:track:6H3kDe7CGoWYBabAeVWGiD,0.634,0.63,-8.277,0.031,0.447,0.17
31,That's All,spotify:track:00pGaOhIq27ToaysOlbIGW,0.699,0.654,-6.894,0.0329,0.248,0.081
32,Mary Jane's Last Dance,spotify:track:3dmqIB2Qxe2XZobw9gXxJ6,0.464,0.655,-9.058,0.0608,0.0272,0.328
33,"Another Brick in the Wall, Pt. 2",spotify:track:4gMgiXfqyzZLMhsksGmbQV,0.694,0.394,-15.881,0.0428,0.0781,0.247
34,The Chain - 2004 Remaster,spotify:track:5e9TFTbltYBg2xThimr0rU,0.545,0.67,-8.81,0.0496,0.009,0.0451
35,While My Guitar Gently Weeps - Remastered 2009,spotify:track:389QX9Q1eUOEZ19vtzzI9O,0.453,0.654,-8.855,0.0317,0.0205,0.172
36,Pinball Wizard,spotify:track:6LbbHFEajG9e4m0G3L47c4,0.543,0.715,-8.89,0.0356,0.0192,0.256
37,All Along the Watchtower,spotify:track:2aoo2jlRnM3A0NyLQqMN2f,0.438,0.805,-6.237,0.0624,0.00255,0.0842
38,Sweet Emotion,spotify:track:24NwBd5vZ2CK8VOQVnqdxr,0.38,0.76,-10.961,0.0378,0.00298,0.104
39,Sweet Home Alabama,spotify:track:7e89621JPkKaeDSTQ3avtg,0.596,0.605,-12.145,0.0255,0.181,0.0863
40,Free Bird,spotify:track:5EWPGh7jbTNO2wakv8LjUI,0.249,0.834,-8.21,0.0577,0.0738,0.0924
41,Babe I'm Gonna Leave You - 1990 Remaster,spotify:track:4OMu5a8sFpcRCPCcsoEaov,0.404,0.435,-12.045,0.0323,0.246,0.156
42,Your Time Is Gonna Come - 1990 Remaster,spotify:track:3Zr81qUZEhR4vPeUFUsBB0,0.325,0.569,-10.826,0.0437,0.207,0.662
43,No Quarter - Remaster,spotify:track:0GRBFjza23Im7Xb16c9AaK,0.33,0.342,-14.09,0.0404,0.734,0.129
44,Hush,spotify:track:4aU82r5G2KTUh3HmPHCbM1,0.577,0.664,-9.153,0.0461,0.00533,0.142
45,White Room,spotify:track:3Xls4cNOwy01dtrNXb1inG,0.553,0.576,-13.458,0.0304,0.191,0.0365
46,Little Wing,spotify:track:1Eolhana7nKHYpcYpdVcT5,0.515,0.534,-8.045,0.0768,0.181,0.0547
47,One of These Nights - 2013 Remaster,spotify:track:608xszaAxVh4m7NcKJiAbF,0.655,0.606,-10.385,0.0285,0.0603,0.0757
48,Take It Easy - 2013 Remaster,spotify:track:3vhJw6V39Gh1PpEMHjiMFO,0.575,0.67,-10.39,0.0318,0.343,0.129
49,Hotel California - 2013 Remaster,spotify:track:40riOy7x9W7GXjyGp4pjAv,0.579,0.508,-9.484,0.027,0.00574,0.0575
50,Victim of Love - 2013 Remaster,spotify:track:1tKha6Q0lYlW1qsWYbZB2N,0.576,0.545,-7.213,0.0281,0.0871,0.267
51,The Tower - 2001 Remaster,spotify:track:2XHs83Rq9UqWY3kNXhOfpb,0.551,0.878,-6.245,0.0392,0.00024,0.114
52,Freak - 2001 Remastered Version,spotify:track:3Rkh2YceF0NZSRUb1Vj7oA,0.498,0.963,-4.566,0.0744,6.95e-05,0.329
53,Book of Thel - 2001 Remaster,spotify:track:5lgtcuaFGwcMe5dBayXyrb,0.41,0.879,-6.042,0.052,0.00353,0.185
54,Kill Devil Hill,spotify:track:1BwfU2oKLAbxCYOXcjloGc,0.399,0.859,-5.856,0.0561,0.000902,0.245
55,Chemical Wedding - 2001 Remaster,spotify:track:3SvUZfl97OCOOlHD4GvxjW,0.26,0.815,-4.551,0.0367,0.00252,0.149
56,Book of Thel - 2001 Remaster,spotify:track:4gW8GTEd5ygRjLiS0oy3Ji,0.369,0.878,-6.048,0.0541,0.00353,0.22
57,Abduction,spotify:track:0SejUyX6t0nCoy4GJcgzZS,0.363,0.981,-5.129,0.0651,0.000104,0.286
58,King In Crimson - 2001 Remaster,spotify:track:0lwDIYK7rXY2qbJ49Ii98D,0.452,0.97,-4.545,0.0979,0.00157,0.206
59,Killing Floor - 2001 Remaster,spotify:track:0m54EPakWZcUZ3VQVewe1H,0.336,0.902,-5.997,0.0558,0.00101,0.396
60,It Follows,spotify:track:69g3SU3gusPsvzTRprMWo5,0.514,0.967,-3.931,0.0868,3.35e-05,0.0446
61,Exorchrist,spotify:track:40doWMUN7iGnIdxsWeEEKF,0.512,0.961,-3.307,0.152,0.000246,0.155
62,Collide,spotify:track:3WTAxu6o4CiTNxQAqLrSSa,0.533,0.918,-5.131,0.0747,0.00149,0.078
63,Davidian,spotify:track:3qHlBxD3acw5nrl7Padt0v,0.278,0.937,-6.952,0.168,0.000535,0.227
64,None Shall Pass,spotify:track:5DJTYOAHZEKjNqXpOwnomi,0.707,0.683,-8.728,0.0683,0.184,0.108
65,Jazz,spotify:track:6Bqn71zg1dznO7Ck8ykEWc,0.636,0.61,-9.665,0.119,0.25,0.113
66,That's Life (feat. Mac Miller & Sia),spotify:track:5h0Jgt873QtgL6nJRBGfT6,0.525,0.774,-4.532,0.241,0.24,0.495
67,Slow Blues,spotify:track:3NKpfO6Az3tcRG6fltcp6U,0.627,0.848,-3.253,0.288,0.133,0.317
68,The Law (feat. Mac Miller & Rapsody),spotify:track:17vQTNbvhpvi92qOnDOFHB,0.744,0.637,-7.297,0.301,0.249,0.0965
69,Meditate (feat. J.I.D.),spotify:track:0Eqm7hD828cATBLUx2fJox,0.743,0.679,-8.295,0.286,0.0757,0.347
70,Acid Rain,spotify:track:0yLsJKNJHmSnmSGl3ZodYn,0.727,0.527,-7.111,0.252,0.218,0.113
71,Slow Jamz (feat. Kanye West & Jamie Foxx),spotify:track:1boHm9rjmvzxpJASd9dnGK,0.561,0.764,-6.645,0.138,0.373,0.157
72,Congratulations,spotify:track:3a1lNhkSLSkpJE4MSHpDu9,0.63,0.804,-4.183,0.0363,0.215,0.253
73,Rich Niggaz,spotify:track:0QpYkajexWrB0P3TWvkHlm,0.586,0.717,-8.543,0.197,0.472,0.104
74,Niggaz Know,spotify:track:7ncDwhSTgCZuL3OZNkvZ97,0.709,0.687,-7.394,0.174,0.0334,0.103
75,The Recipe - Bonus Track,spotify:track:1eRBW1HcyM1zPlxO26cScZ,0.759,0.782,-6.975,0.0741,0.000589,0.35
76,The Message,spotify:track:6WgxXdBZrtdQFGBcxQxpiv,0.711,0.608,-4.008,0.0754,0.0446,0.123
77,BDE Bonus,spotify:track:4vbCuMBvSN4jqOX4ypQcbz,0.53,0.497,-8.701,0.182,0.521,0.0665
78,Weekend (feat. Miguel),spotify:track:6GnhWMhgJb7uyiiPEiEkDA,0.843,0.435,-8.442,0.178,0.47,0.147
79,HiiiPower,spotify:track:4WEuEfFiczWxblHyuucSBL,0.695,0.827,-5.742,0.282,0.179,0.283
80,Ronald Reagan Era,spotify:track:71d1KcqByBe8cl0NhFUKVU,0.424,0.828,-4.991,0.335,0.0152,0.389
81,Black Boy Fly - Bonus Track,spotify:track:1H7yy9jlDYS2EBF41J6Yf5,0.593,0.731,-5.21,0.149,0.108,0.103
82,Money Trees,spotify:track:2HbKqm4o0w5wEeEFXm2sD4,0.716,0.531,-7.355,0.122,0.0703,0.224
83,Hood Politics,spotify:track:2UOYzhusMTypF7oAQwksCj,0.731,0.661,-6.562,0.376,0.145,0.12
84,Loose Cannons,spotify:track:5Pkik37ckb0NKfsxkVH5Ky,0.485,0.943,-5.051,0.461,0.0732,0.0686
85,Deep Water,spotify:track:7LUOpegdxmYkaHjJXdHuZ3,0.705,0.786,-5.417,0.355,0.0306,0.906
86,July,spotify:track:5a6pdCHlWS2ekOOQ70QnAr,0.708,0.186,-8.953,0.0422,0.868,0.0779
87,The A Team,spotify:track:6wJhz2jABaX2oMChhGy39Y,0.642,0.289,-9.918,0.0367,0.669,0.18
88,April Come She Will,spotify:track:0djZ2ndRfAL69WYNra5jRC,0.489,0.186,-16.237,0.029,0.863,0.2
89,Carolina in My Mind,spotify:track:2T5Ch09nefwckOu5NQvjIk,0.579,0.267,-15.11,0.0348,0.118,0.132
90,Fire and Rain,spotify:track:3LcYYV9ozePfgYYmXv0P3r,0.611,0.35,-14.48,0.0356,0.499,0.0844
91,Mexico,spotify:track:4sI8uN1G3PsoiNizkOqATO,0.787,0.551,-11.09,0.0302,0.256,0.11
92,Fever To The Form,spotify:track:1QJnDJuYOGj05iSc4eWGr5,0.358,0.546,-8.927,0.0296,0.795,0.111
93,Cherry Wine - Live,spotify:track:1C042FLYy7rP3MfnkOcnha,0.415,0.11,-14.901,0.0388,0.951,0.0962
94,Bloom - Bonus Track,spotify:track:41yIvlFgvGwxq8qTqAR7eG,0.592,0.416,-9.794,0.0246,0.882,0.112
95,Cracks - Flux Pavilion Remix,spotify:track:7a1GZ1tJSgnoWqqUcSwUfj,0.501,0.838,-6.666,0.053,0.000847,0.123
96,I Can't Stop,spotify:track:5WSL7UTa38jMWoBzObD4BD,0.524,0.601,-13.399,0.0335,0.00108,0.398
97,Eyes on Fire - Zeds Dead Remix,spotify:track:3Oiauiojgokw9vWQvFmEoI,0.614,0.726,-6.441,0.096,0.00869,0.157
98,Lights,spotify:track:11ozIUBoXAgRTVWelDn4pL,0.703,0.731,-6.283,0.0311,0.0721,0.138
99,Sit Next to Me,spotify:track:4BdGO1CaObRD4La9l5Zanz,0.638,0.738,-4.976,0.0292,0.117,0.689
100,Sheep,spotify:track:7412fpVfB2PSSb1nENQczC,0.498,0.502,-8.052,0.0371,0.891,0.0716
101,Undertow,spotify:track:2Zv95uoSB1H4puVfAYbovF,0.434,0.726,-5.482,0.033,0.0351,0.476
