,name,danceability,energy,loudness,speechiness,acousticness,liveness,tempo
0,All Mine (feat. Eleven) - Bonjr Remix,0.525,0.538,-8.597,0.0998,0.664,0.0965,147.985
1,Bad Behavior,0.581,0.522,-6.707,0.0718,0.0161,0.433,107.962
2,Birds,0.751,0.453,-12.538,0.0833,0.616,0.114,99.01
3,Blossom,0.527,0.616,-8.951,0.246,0.495,0.13,93.929
4,Brown Butter,0.743,0.314,-11.599,0.0666,0.506,0.109,86.981
5,Burning Up,0.794,0.445,-6.522,0.162,0.661,0.0622,96.477
6,BYE,0.688,0.711,-5.591,0.114,0.677,0.371,82.936
7,Cantilever,0.801,0.697,-5.648,0.222,0.55,0.115,97.971
8,Cosmopolitan,0.629,0.568,-8.885,0.0425,0.129,0.136,160.053
9,Down Low (Stripped),0.678,0.362,-11.233,0.0618,0.345,0.13,92.942
10,Feel 4 U,0.613,0.535,-8.525,0.0808,0.0403,0.103,85.077
11,FEELING GUD,0.484,0.94,-3.682,0.257,0.0145,0.266,173.741
12,Fire,0.757,0.665,-5.95,0.0387,0.0167,0.261,125.041
13,Flowers,0.626,0.276,-12.38,0.0457,0.625,0.109,86.452
14,Freak,0.458,0.756,-5.952,0.114,0.0387,0.339,88.581
15,Go to Sleep (feat. Kailee Morgue) (feat. Kailee Morgue) - Oshi Remix,0.454,0.639,-5.839,0.432,0.649,0.105,114.144
16,I Admit It (feat. 24kGoldn),0.746,0.576,-4.796,0.0345,0.0204,0.0959,123.036
17,Know Love - OTR Remix,0.687,0.711,-7.089,0.0524,0.258,0.115,120.018
18,like u do (clear eyes remix),0.609,0.298,-12.741,0.401,0.805,0.139,89.476
19,Longest Road,0.413,0.328,-13.248,0.0431,0.0498,0.0648,140.165
20,The Long Way Home,0.707,0.713,-8.445,0.0561,0.134,0.203,98.979
21,Lov,0.492,0.523,-6.671,0.0758,0.567,0.0708,95.867
22,Malibu,0.654,0.668,-3.691,0.0777,0.168,0.303,150.007
23,mercy - couros remix,0.775,0.594,-10.167,0.564,0.223,0.133,126.093
24,monday,0.799,0.541,-9.954,0.317,0.195,0.0652,145.148
25,On Your Mind,0.835,0.828,-4.512,0.0949,0.00235,0.0602,107.995
26,Over You,0.675,0.263,-9.01,0.0402,0.684,0.0622,120.018
27,Rainy Day,0.617,0.45,-8.02,0.0362,0.716,0.385,89.975
28,Right Now,0.519,0.458,-11.46,0.0741,0.484,0.0927,89.822
29,Say It Once,0.758,0.362,-12.157,0.1,0.52,0.0948,80.973
30,SKYWALKER,0.561,0.385,-7.973,0.0279,0.0607,0.104,119.949
31,So Far,0.59,0.946,-3.373,0.0384,0.000477,0.0811,154.916
32,Soft Top - Original,0.577,0.809,-4.543,0.0655,0.00174,0.18,147.024
33,Souls,0.422,0.538,-8.138,0.0434,0.304,0.657,175.735
34,Sun on the Way. (No Pretty Shit),0.832,0.753,-5.621,0.0449,0.266,0.114,120.037
35,TAM,0.762,0.388,-11.645,0.509,0.459,0.16,103.962
36,Tidal Wave - Mansionair Remix,0.728,0.56,-9.081,0.055,0.106,0.137,94.963
37,tongue tied,0.418,0.691,-4.648,0.068,0.807,0.0705,90.047
38,ultraviolet,0.364,0.32,-8.902,0.0352,0.296,0.111,106.022
39,Uncertain Truth,0.558,0.496,-10.781,0.103,0.284,0.106,109.977
40,Vibrate,0.248,0.674,-2.765,0.0719,0.0593,0.0678,68.661
41,waves,0.654,0.476,-9.718,0.232,0.276,0.109,168.037
42,What You Want,0.428,0.679,-8.071,0.054,0.0555,0.379,73.968
43,Put It on Me,0.873,0.425,-12.158,0.326,0.176,0.11,109.024
44,You Broke My Heart So Gently,0.64,0.501,-9.587,0.0994,0.403,0.395,125.91
45,Blind Eyed (feat. Sam Tompkins),0.741,0.582,-5.849,0.179,0.121,0.516,75.024
46,SIGN ON,0.52,0.905,-1.69,0.0397,0.122,0.625,115.027
47,Nightmares,0.663,0.656,-5.803,0.0875,0.187,0.522,88.973
48,Let A Little Light In,0.576,0.563,-6.424,0.0477,0.614,0.0941,169.682
49,Rhythm in the Dance,0.63,0.552,-8.476,0.491,0.818,0.138,87.416
50,Dazed & Confused,0.688,0.5,-7.411,0.138,0.102,0.355,127.906
51,slow down my thoughts,0.734,0.414,-8.368,0.0881,0.69,0.225,126.956
52,Time in a Tree,0.641,0.472,-8.014,0.0603,0.502,0.35,106.03
53,Goodie Bag,0.739,0.522,-12.304,0.151,0.821,0.233,138.263
54,Painkiller,0.683,0.42,-6.51,0.0542,0.0875,0.225,128.621
55,She's Casual,0.435,0.591,-6.973,0.057,0.0132,0.101,129.93
56,Dirty AF1s,0.687,0.668,-5.99,0.385,0.756,0.113,87.175
57,Lucy,0.647,0.537,-12.006,0.21,0.43,0.119,84.46
58,Deck Of Cards,0.714,0.516,-7.656,0.0477,0.669,0.115,124.937
59,Cooks,0.45,0.583,-10.49,0.0811,0.434,0.244,77.066
60,Damselfly,0.82,0.596,-7.539,0.246,0.517,0.358,94.968
61,Don't Ask,0.624,0.418,-7.714,0.132,0.414,0.105,178.028
62,See U In The Morning,0.531,0.374,-12.519,0.316,0.622,0.129,96.514
63,Running Thru 3AM,0.677,0.388,-6.697,0.0406,0.731,0.154,119.069
64,Ottolenghi,0.776,0.593,-10.535,0.252,0.327,0.186,94.97
65,You & Me Song,0.613,0.338,-6.932,0.0307,0.524,0.134,134.6
66,So Easy,0.744,0.552,-6.28,0.192,0.138,0.102,140.004
67,Experience,0.614,0.809,-4.749,0.0738,0.0105,0.148,112.023
68,Bitter,0.724,0.594,-7.126,0.102,0.393,0.0889,136.002
69,Boys Ain't Shit,0.826,0.615,-4.729,0.137,0.435,0.334,102.999
70,as long as you care,0.55,0.591,-6.833,0.0377,0.00692,0.11,78.68
71,Mount Everest,0.494,0.428,-7.239,0.203,0.233,0.0816,87.723
72,F2020,0.702,0.597,-7.067,0.207,0.587,0.112,85.016
73,Forest Fire,0.635,0.626,-8.439,0.396,0.418,0.094,79.88
74,Blurred,0.486,0.537,-10.238,0.0831,0.418,0.393,202.866
75,Summertime Silence,0.578,0.379,-10.032,0.186,0.699,0.105,85.955
76,Measures,0.409,0.393,-9.689,0.0589,0.757,0.302,115.094
77,Menace,0.876,0.471,-10.82,0.0836,0.0281,0.11,99.999
78,Free (with Drew Love),0.651,0.564,-6.64,0.0353,0.00575,0.143,124.99
79,Off the Gas,0.481,0.395,-10.306,0.0502,0.4,0.112,118.039
80,Squarelove,0.454,0.784,-5.719,0.0437,0.0558,0.113,145.941
81,Run for Me,0.276,0.538,-6.306,0.0546,0.0812,0.13,161.924
82,Limitless,0.701,0.46,-10.846,0.0399,0.0424,0.0276,138.063
83,Stranger,0.476,0.652,-5.247,0.101,0.033,0.217,182.597
84,Spiritual Man,0.661,0.527,-4.809,0.0315,0.355,0.142,93.987
85,All the Time,0.549,0.77,-4.375,0.0416,0.157,0.185,132.055
86,Turn Up West Coast,0.841,0.473,-12.523,0.0426,0.0106,0.139,101.975
87,Sick,0.632,0.407,-11.002,0.0735,0.505,0.121,90.047
88,No Signal,0.601,0.646,-8.54,0.0899,0.865,0.117,100.061
