,name,danceability,energy,loudness,speechiness,acousticness,liveness,tempo
31,Sólo Por Ti,0.67,0.556,-6.155,0.0627,0.123,0.0999,85.917
32,Bitter,0.726,0.585,-7.148,0.0983,0.406,0.0874,135.998
33,Kya Yehi Pyar Hai - Remix,0.748,0.576,-7.815,0.0701,0.369,0.0966,93.005
34,PERSIAN RUGS,0.768,0.428,-8.156,0.0459,0.0489,0.105,110.478
35,You're Mines Still,0.613,0.615,-4.859,0.107,0.308,0.107,86.782
36,3 Peg,0.69,0.926,-0.223,0.253,0.14,0.112,167.927
37,5 Taara,0.687,0.855,-2.837,0.109,0.13,0.311,167.947
38,Amplifier,0.727,0.714,-4.494,0.0872,0.0209,0.153,164.003
39,Bamb Jatt,0.817,0.842,-4.361,0.071,0.239,0.102,133.965
40,Bewafa,0.704,0.563,-4.739,0.0297,0.594,0.133,94.037
41,Chori Chori Takna,0.388,0.869,-4.636,0.245,0.0115,0.251,86.623
42,Daru Badnaam,0.541,0.676,-3.893,0.153,0.442,0.159,90.037
43,Daru Pee Ke,0.655,0.918,-3.181,0.0853,0.0846,0.0651,183.975
44,High Heels,0.891,0.913,-4.453,0.149,0.394,0.373,130.045
45,Illegal Weapon,0.814,0.666,-6.555,0.0635,0.488,0.108,94.02
46,Issa Jatt,0.847,0.583,-8.631,0.411,0.121,0.554,83.996
47,Jaat Da Muqabala,0.716,0.934,-2.431,0.0448,0.0561,0.147,99.983
48,Laembadgini,0.755,0.839,-2.26,0.129,0.294,0.107,82.041
49,"Lahore (From ""Lahore"")",0.787,0.869,-2.965,0.0748,0.17,0.207,95.032
50,Lal Ghagra,0.777,0.963,-3.28,0.0888,0.046,0.0926,135.043
51,Moorni,0.669,0.877,-3.336,0.163,0.242,0.0911,90.392
52,Patiala Peg,0.657,0.811,-3.253,0.184,0.0259,0.311,175.91
53,Phone,0.448,0.693,-5.425,0.0764,0.127,0.0815,91.561
54,Picha Ni Chad De,0.6,0.888,-1.453,0.0707,0.101,0.238,91.076
55,Sadi Gali,0.726,0.994,-2.433,0.0543,0.021,0.222,129.989
56,Sat Sri Akal,0.652,0.939,-2.1,0.271,0.103,0.382,176.016
57,Sip Sip,0.708,0.904,-4.259,0.0632,0.1,0.269,180.022
58,So High,0.537,0.763,-6.346,0.204,0.0152,0.109,180.001
59,Sohniye,0.643,0.769,-7.383,0.2,0.128,0.0551,201.964
60,Suit Suit,0.767,0.869,-3.381,0.0908,0.14,0.221,98.208
61,Tera Yaar Bolda,0.733,0.932,-4.293,0.157,0.177,0.0651,78.946
62,"Veer Vaar - From ""Sardaarji""",0.72,0.91,-2.88,0.154,0.391,0.0897,81.087
63,Fever,0.891,0.62,-7.463,0.244,0.139,0.0805,98.093
64,Jiggle Jiggle,0.755,0.839,-3.905,0.0619,0.0514,0.372,100.962
65,Gyal You A Party Animal,0.588,0.841,-5.138,0.0932,0.026,0.33,134.577
66,Dutty Wine,0.497,0.918,-4.981,0.359,0.16,0.396,156.541
67,Wine Back,0.74,0.858,-5.426,0.0652,0.357,0.0932,116.958
68,Whine & Kotch,0.699,0.675,-5.383,0.387,0.0654,0.143,105.151
69,Pon Di Cocky,0.818,0.794,-7.457,0.0894,0.193,0.0413,100.986
70,Party Tun Up,0.846,0.866,-2.92,0.11,0.121,0.0803,124.993
71,Gal a Bubble,0.836,0.736,-7.452,0.354,0.135,0.078,100.103
72,So Mi Like It,0.812,0.694,-3.913,0.331,0.0382,0.104,90.127
73,Gyal Bruk Out,0.76,0.652,-5.278,0.365,0.397,0.321,90.281
74,Bruk It Down,0.919,0.781,-4.704,0.217,0.219,0.221,118.982
75,Hold You - Hold Yuh,0.69,0.621,-3.583,0.06,0.321,0.0884,66.858
76,Kotch,0.92,0.8,-3.843,0.0706,0.164,0.104,118.01
77,Bruki,0.691,0.956,-4.384,0.083,0.485,0.0742,104.845
78,Only Man She Want,0.521,0.82,-6.028,0.293,0.367,0.124,135.883
79,Bruk Off Yuh Back,0.816,0.875,-2.499,0.184,0.187,0.0346,100.967
80,Pull up to Mi Bumper,0.599,0.683,-3.812,0.464,0.448,0.0463,211.958
81,Jump,0.88,0.813,-2.361,0.415,0.151,0.0708,123.989
82,Summer Tiime,0.857,0.798,-4.062,0.0651,0.313,0.316,100.0
83,Wine Slow,0.615,0.557,-8.698,0.286,0.693,0.16,119.845
84,Nobody Has to Know,0.792,0.682,-4.96,0.173,0.00168,0.169,84.983
85,Romping Shop (feat. Spice),0.645,0.373,-15.398,0.374,0.293,0.0948,171.961
86,Paper Loving,0.628,0.616,-5.315,0.309,0.0859,0.216,178.387
87,Tun & Wine,0.603,0.679,-6.226,0.452,0.0733,0.248,76.909
88,No Games,0.741,0.79,-5.056,0.284,0.000755,0.0345,185.779
89,Miss Fatty,0.943,0.479,-6.172,0.289,0.0986,0.155,109.3
90,Go Go,0.498,0.752,-3.952,0.247,0.423,0.163,184.375
91,Bend Ova,0.83,0.91,-3.886,0.243,0.154,0.179,112.934
92,Bedroom Bully,0.597,0.713,-6.456,0.26,0.0147,0.069,99.761
93,Murder She Wrote,0.883,0.733,-9.153,0.128,0.161,0.334,95.103
94,Ova Dweet,0.638,0.699,-4.899,0.3,0.104,0.0995,102.758
95,Heads High,0.695,0.658,-6.152,0.368,0.411,0.152,96.048
96,Nuttin Nuh Go So,0.751,0.837,-3.892,0.108,0.183,0.217,98.016
97,Backaz,0.809,0.761,-7.026,0.234,0.251,0.061,99.785
98,Love Yuh Bad,0.584,0.689,-5.624,0.406,0.0391,0.234,144.902
99,Tempted To Touch,0.863,0.782,-10.787,0.0989,0.0345,0.123,105.985
100,King Of The Dancehall,0.81,0.829,-5.646,0.108,0.34,0.0539,104.695
101,Split in De Middle,0.663,0.803,-6.445,0.332,0.000347,0.243,188.797
102,Turn Me On,0.677,0.682,-6.879,0.0361,0.0405,0.0351,106.279
103,Bicycle Ride,0.96,0.893,-4.166,0.215,0.305,0.321,104.042
104,Give It All To Me,0.477,0.707,-5.567,0.342,0.0158,0.129,97.143
105,Bicycle,0.664,0.703,-6.672,0.235,0.00967,0.37,109.312
106,Falling,0.864,0.865,-3.537,0.131,0.269,0.1,128.077
107,Dude,0.616,0.71,-7.05,0.264,0.123,0.128,93.938
108,Hello,0.757,0.899,-4.301,0.0442,0.029,0.303,105.163
109,Your Number,0.588,0.61,-5.008,0.234,0.534,0.303,99.926
110,Wine To Di Top,0.804,0.857,-2.819,0.23,0.295,0.0646,104.891
111,Like Glue,0.757,0.78,-5.038,0.319,0.0811,0.113,97.917
112,No Letting Go,0.495,0.819,-5.656,0.0444,0.0479,0.177,100.213
113,Roll It Gal,0.519,0.859,-5.046,0.287,0.0113,0.105,103.364
114,Tight Up Skirt,0.897,0.605,-5.908,0.344,0.00891,0.206,95.023
115,Come Into My Room,0.639,0.664,-4.583,0.168,0.0654,0.0751,115.895
116,Yuh Love,0.588,0.687,-6.912,0.342,0.238,0.173,122.111
117,Mamacita,0.593,0.841,-5.387,0.106,0.0257,0.0716,103.362
118,Hoist & Wine,0.58,0.868,-1.98,0.0976,0.178,0.309,134.707
119,Too Real,0.882,0.827,-4.13,0.0574,0.214,0.0619,125.021
120,Fast Wine,0.887,0.892,-2.346,0.0473,0.0381,0.0787,107.996
121,Get Busy,0.735,0.824,-4.143,0.036,0.615,0.158,100.202
122,Ola,0.921,0.479,-6.704,0.294,0.423,0.0605,125.937
123,Workout,0.808,0.848,-5.518,0.0979,0.0783,0.299,130.021
124,Phenomenal,0.949,0.473,-6.618,0.203,0.289,0.0617,126.017
125,Differentology (Ready for the Road),0.728,0.559,-8.266,0.0566,0.0166,0.291,119.962
126,Single,0.866,0.701,-4.906,0.0993,0.174,0.0886,129.982
127,Shen Yeng Anthem,0.665,0.824,-2.231,0.303,0.144,0.307,105.798
128,Mr. Fete,0.942,0.94,-4.698,0.101,0.342,0.114,131.061
129,Splinters,0.889,0.881,-1.843,0.0484,0.206,0.099,107.975
130,Fallin',0.381,0.975,-4.114,0.202,0.0392,0.158,178.933
131,Big Bad Soca,0.868,0.834,-4.965,0.0944,0.0447,0.0436,119.973
132,Just a Little Bit,0.852,0.812,-6.918,0.121,0.011,0.259,127.023
133,Cheers to Life (Soca 2016 Trinidad and Tobago Carnival),0.614,0.931,-2.746,0.346,0.109,0.0662,126.005
134,No Apology,0.809,0.827,-4.432,0.123,0.305,0.172,127.992
135,Baila Mami,0.853,0.627,-7.18,0.0489,0.043,0.178,105.025
136,Freaky Girls,0.551,0.702,-9.375,0.149,0.0661,0.137,87.264
137,Badishh,0.682,0.889,-3.038,0.0365,0.0282,0.146,109.983
138,Rolly Polly,0.764,0.819,-6.797,0.198,0.21,0.0722,162.038
139,You're Perfect,0.817,0.855,-3.282,0.244,0.318,0.0517,104.909
140,Toast,0.906,0.638,-7.917,0.256,0.0342,0.0725,99.959
141,Like Ah Boss,0.802,0.944,-1.139,0.175,0.105,0.329,133.968
142,Wotless,0.843,0.792,-3.672,0.0542,0.0671,0.0694,119.992
143,Nadie Tiene Que Saber (feat. Farruko),0.513,0.745,-7.598,0.219,0.243,0.324,85.009
144,Lucy,0.77,0.94,-3.153,0.0496,0.0147,0.108,123.002
145,Slow Wine,0.711,0.931,-2.38,0.375,0.0708,0.113,98.031
146,Bacchanal,0.673,0.885,-5.62,0.0546,0.000182,0.127,158.059
147,Bacchanalist,0.813,0.594,-6.21,0.0954,0.131,0.0264,127.91
148,Monster Winer,0.88,0.851,-3.322,0.0615,0.0601,0.275,130.02
149,Vibes Cyah Done,0.923,0.787,-3.603,0.0559,0.142,0.0501,128.064
150,Criminal Wine,0.764,0.928,-3.64,0.0537,0.296,0.11,127.014
151,Born to Whine,0.859,0.906,-2.683,0.0892,0.0327,0.301,101.006
152,Saajanji Ghar Aaye,0.703,0.666,-8.901,0.0356,0.587,0.0924,98.214
153,Kabhi Khushi Kabhie Gham,0.429,0.763,-5.91,0.107,0.524,0.127,100.835
154,"Say ""Shava Shava""",0.665,0.908,-4.804,0.188,0.0503,0.0798,98.811
155,Yeh Ladka Hai Allah,0.646,0.908,-4.68,0.0988,0.419,0.381,104.238
156,"Kabhi Khushi Kabhie Gham - Sad Version, 2",0.343,0.464,-5.976,0.0282,0.705,0.107,83.034
157,Tujhe Dekha To,0.512,0.479,-10.765,0.0378,0.765,0.0648,97.205
158,Tum Hi Ho,0.528,0.449,-6.25,0.025,0.785,0.122,94.058
159,Meri Aashiqui,0.383,0.422,-8.219,0.0288,0.755,0.119,188.109
160,Bole Chudiyan,0.59,0.875,-5.294,0.171,0.45,0.164,96.915
161,Dil Dooba,0.814,0.909,-6.875,0.0753,0.319,0.345,100.004
162,"Desi Girl (From ""Dostana"")",0.746,0.924,-6.057,0.0442,0.0169,0.097,136.051
163,"Teri Ore (From ""Singh Is Kinng"")",0.483,0.798,-4.623,0.0972,0.176,0.24,83.684
164,"Didi Tera Devar Deewana (From ""Hum Aapke Hain Koun"")",0.662,0.701,-11.399,0.0285,0.399,0.297,103.246
165,Ladki Badi Anjani Hai,0.637,0.774,-9.327,0.056,0.522,0.0901,121.108
166,"Mehndi Laga Ke Rakhna (From ""Dilwale Dulhania Le Jayenge"")",0.569,0.827,-7.586,0.11,0.777,0.37,98.4
167,Kuch Kuch Hota Hai,0.547,0.554,-11.165,0.0374,0.602,0.0735,91.386
168,Kal Ho Naa Ho,0.532,0.529,-8.402,0.0352,0.334,0.078,81.989
169,"Chaiyya Chaiyya (From ""Dil Se"")",0.786,0.579,-14.913,0.142,0.186,0.118,90.012
170,Koi Mil Gaya,0.7,0.687,-9.292,0.0504,0.503,0.057,136.028
171,Zara Sa Jhoom Loon Main,0.606,0.553,-12.537,0.0764,0.682,0.191,130.657
172,"Saat Samundar Paar, Pt. 1",0.414,0.804,-7.424,0.0765,0.358,0.209,133.307
173,Jhoot Bole Kauva Kate,0.325,0.509,-14.775,0.155,0.963,0.886,182.261
174,Ek Ladki Ko Dekha,0.531,0.47,-11.54,0.0326,0.568,0.0521,81.282
175,Chinta Ta Ta Chita Chita,0.765,0.899,-2.096,0.247,0.249,0.0588,67.508
176,Ho Gaya Hai Tujhko To Pyar Sajna,0.489,0.575,-11.64,0.047,0.533,0.238,100.212
177,Tere Bina,0.744,0.7,-7.663,0.0376,0.278,0.068,144.043
178,"Jiya Jale (From ""Dil Se"")",0.767,0.503,-13.424,0.0828,0.12,0.158,141.996
179,"Gerua (From ""Dilwale"")",0.376,0.668,-7.269,0.0497,0.635,0.294,87.457
180,Moral of the Story,0.572,0.406,-8.624,0.0427,0.587,0.102,119.812
181,Echoes Of Silence,0.214,0.156,-17.515,0.0443,0.951,0.101,75.654
182,Saved,0.739,0.448,-10.28,0.138,0.189,0.118,81.044
183,Coaster,0.441,0.219,-14.586,0.0419,0.935,0.115,94.021
184,The Knowing,0.451,0.573,-8.277,0.0303,0.571,0.172,85.921
185,Toxic,0.656,0.453,-5.395,0.0351,0.307,0.113,111.804
186,Playing Games (with Bryson Tiller) - Extended Version,0.726,0.408,-6.606,0.0614,0.603,0.225,115.918
187,Twenty Eight,0.639,0.633,-7.338,0.0352,0.574,0.111,129.996
188,Could've Been (feat. Bryson Tiller),0.455,0.352,-11.733,0.25,0.654,0.249,103.342
189,Who Hurt You?,0.649,0.493,-7.645,0.11,0.586,0.0667,104.542
190,Si Veo a Tu Mamá,0.9,0.603,-5.313,0.0646,0.402,0.134,129.928
191,Marvins Room,0.492,0.26,-17.341,0.0921,0.646,0.0705,111.519
192,Call Out My Name,0.461,0.593,-4.954,0.0356,0.17,0.307,134.17
193,When I Was Your Man,0.612,0.28,-8.648,0.0434,0.932,0.088,72.795
194,The Birds Pt. 2,0.296,0.518,-9.571,0.0489,0.745,0.462,183.672
195,Heather,0.357,0.425,-7.301,0.0333,0.584,0.322,102.078
196,How You Gonna Act Like That,0.733,0.521,-3.657,0.0457,0.107,0.0692,112.913
197,U Remind Me,0.657,0.629,-4.938,0.0782,0.194,0.254,93.985
198,Girls Need Love (with Drake) - Remix,0.656,0.432,-9.481,0.217,0.443,0.132,97.022
199,Trip,0.477,0.61,-5.628,0.144,0.225,0.107,79.882
200,Close Friends (Lil Baby & Gunna),0.676,0.578,-4.669,0.375,0.0509,0.0796,158.896
201,Let Me Love You,0.656,0.578,-8.97,0.0922,0.235,0.118,94.514
202,How Do I Breathe,0.684,0.455,-8.216,0.0307,0.215,0.263,97.956
203,So Sick,0.452,0.574,-8.336,0.31,0.246,0.189,92.791
204,My Boo,0.662,0.507,-8.238,0.118,0.257,0.0465,86.412
205,One Wish,0.525,0.652,-7.042,0.28,0.278,0.339,127.673
206,Yo (Excuse Me Miss),0.536,0.612,-5.847,0.272,0.119,0.209,86.768
207,Dilemma,0.727,0.552,-8.074,0.14,0.227,0.198,168.189
208,Boo'd Up,0.561,0.779,-5.107,0.0531,0.0862,0.078,81.965
209,Foolish,0.665,0.695,-5.763,0.0532,0.347,0.106,90.119
210,Confessions Part II,0.845,0.467,-7.674,0.138,0.0586,0.0694,138.007
211,Sexy Love,0.693,0.516,-6.446,0.0413,0.297,0.0604,94.02
212,U Got It Bad,0.816,0.5,-4.551,0.03,0.0227,0.0733,124.037
213,Because Of You,0.81,0.538,-5.784,0.0356,0.528,0.0951,109.97
214,Sexy Can I feat. Yung Berg,0.575,0.684,-6.007,0.325,0.299,0.614,172.155
215,Suga Suga,0.662,0.748,-3.041,0.268,0.688,0.0841,82.331
216,Miss Independent,0.673,0.683,-5.693,0.115,0.522,0.235,171.86
217,Me & U,0.803,0.454,-4.802,0.0294,0.352,0.0655,99.99
218,Playing Games,0.759,0.413,-7.282,0.0494,0.7,0.14,115.893
219,Differences,0.562,0.594,-4.578,0.0558,0.318,0.311,62.876
220,Potential,0.53,0.37,-7.416,0.041,0.572,0.0765,72.732
221,Come Thru (with Usher),0.679,0.728,-3.092,0.154,0.159,0.107,152.001
222,Let Me Hold You (feat. Omarion),0.815,0.662,-8.244,0.199,0.0915,0.0898,151.518
223,Mad,0.727,0.649,-5.356,0.0338,0.661,0.111,129.992
224,No Scrubs,0.743,0.675,-4.267,0.0953,0.0251,0.0685,92.909
225,Confessions,0.83,0.417,-7.559,0.0423,0.178,0.0858,115.985
226,Buy U a Drank (Shawty Snappin') (feat. Yung Joc),0.693,0.547,-8.127,0.114,0.0111,0.0677,80.028
227,Say My Name,0.713,0.678,-3.525,0.102,0.273,0.149,138.009
228,If I Was Your Man,0.71,0.477,-7.44,0.0397,0.167,0.128,94.932
229,Say Goodbye,0.8,0.502,-6.062,0.0371,0.00167,0.0784,115.091
230,Ice Box,0.771,0.728,-5.39,0.128,0.184,0.139,131.109
231,Cyclone (feat. T-Pain),0.641,0.72,-4.326,0.0552,0.0102,0.154,77.969
232,Romance Me,0.618,0.873,-6.873,0.14,0.00202,0.148,183.939
233,Get You (feat. Kali Uchis),0.658,0.294,-8.533,0.0321,0.422,0.0749,74.038
234,Burn,0.796,0.477,-7.161,0.108,0.314,0.12,119.928
235,Like You (feat. Ciara),0.714,0.6,-8.365,0.0876,0.0465,0.0646,82.017
236,Stronger Beer,0.722,0.548,-5.964,0.0314,0.298,0.815,93.064
237,Rain Is A Good Thing,0.622,0.932,-4.66,0.0498,0.105,0.328,108.051
238,Strip It Down,0.631,0.875,-3.589,0.0447,0.382,0.0867,137.961
239,Sweet Caroline,0.529,0.127,-16.066,0.0274,0.611,0.237,63.05
240,"Take Me Home, Country Roads",0.255,0.43,-12.564,0.0322,0.546,0.188,164.267
241,American Pie,0.531,0.481,-11.709,0.06,0.699,0.0842,138.45
242,Chicken Fried,0.566,0.713,-4.25,0.0417,0.645,0.114,169.864
243,Tequila,0.489,0.581,-5.731,0.0281,0.0312,0.132,86.016
244,Cruise,0.457,0.948,-3.364,0.0354,0.0191,0.0536,148.0
245,Country Girl (Shake It For Me),0.645,0.904,-4.532,0.0462,0.0293,0.0834,105.97
