,name,danceability,energy,loudness,speechiness,acousticness,liveness,tempo
0,Location (feat. Burna Boy),0.812,0.496,-5.969,0.297,0.271,0.0955,109.979
1,Island,0.568,0.681,-5.357,0.092,0.52,0.075,134.096
2,Passionfruit,0.809,0.463,-11.377,0.0396,0.256,0.109,111.98
3,Losin Control,0.759,0.245,-6.545,0.138,0.515,0.102,96.992
4,Don't,0.765,0.356,-5.556,0.195,0.223,0.0963,96.991
5,"thank u, next",0.717,0.653,-5.634,0.0658,0.229,0.101,106.966
6,Lucid Dreams,0.511,0.566,-7.23,0.2,0.349,0.34,83.903
7,Come and See Me (feat. Drake),0.717,0.347,-10.265,0.0636,0.0511,0.087,84.987
8,Wet Dreamz,0.517,0.705,-8.205,0.364,0.0751,0.128,175.906
9,Peace of Mind,0.782,0.367,-5.28,0.0548,0.284,0.0899,99.004
10,The Weekend,0.487,0.366,-9.405,0.0531,0.241,0.126,68.191
11,Ride Slow,0.737,0.429,-10.252,0.0785,0.632,0.104,99.955
12,Teenage Fever,0.766,0.283,-10.33,0.0846,0.111,0.115,97.04
13,First Fuck,0.35,0.315,-9.753,0.064,0.916,0.0959,88.449
14,With Me,0.771,0.466,-8.651,0.0308,0.0314,0.31,110.011
15,Wus Good / Curious,0.344,0.537,-8.215,0.079,0.0727,0.225,82.878
16,Late Night Drive,0.491,0.375,-10.031,0.2,0.382,0.103,97.116
17,Luving U,0.723,0.471,-9.506,0.122,0.0886,0.112,121.962
18,Think About Me,0.547,0.294,-10.202,0.0482,0.0607,0.0933,105.027
19,Freak in You,0.424,0.419,-8.503,0.054,0.144,0.174,86.5
20,Jungle,0.697,0.235,-8.651,0.0534,0.62,0.107,99.947
21,Break from Toronto,0.596,0.678,-5.18,0.0335,0.0199,0.418,117.066
22,Drama (feat. Drake),0.709,0.362,-9.814,0.055,0.157,0.109,122.043
23,Say Less,0.694,0.259,-13.388,0.102,0.477,0.0697,93.023
24,Die For You,0.586,0.525,-7.163,0.0615,0.111,0.134,133.629
25,Ex Calling,0.773,0.564,-7.241,0.249,0.00561,0.213,155.976
26,Location,0.736,0.449,-11.462,0.425,0.33,0.0898,80.126
27,oui,0.418,0.724,-3.724,0.0964,0.213,0.112,78.521
28,Come Through and Chill (feat. J. Cole & Salaam Remi),0.461,0.653,-8.617,0.327,0.158,0.197,81.628
29,Como Llora,0.827,0.629,-3.966,0.185,0.183,0.084,88.064
30,Put Your Records On,0.399,0.492,-10.777,0.0538,0.058,0.11,91.066
