,name,danceability,energy,loudness,speechiness,acousticness,liveness,tempo
0,Feeling Myself,0.564,0.703,-5.459,0.269,0.437,0.358,139.045
1,Bitch Better Have My Money,0.781,0.728,-4.981,0.0621,0.0509,0.257,102.99
2,Money,0.95,0.59,-6.508,0.29,0.00534,0.11,130.003
3,Flawless Remix (feat. Nicki Minaj),0.639,0.659,-7.273,0.215,0.241,0.484,136.801
4,Pour It Up,0.785,0.478,-8.735,0.0419,0.0254,0.0901,134.002
5,Bodak Yellow,0.926,0.703,-6.337,0.103,0.0659,0.231,125.022
6,WAP (feat. Megan Thee Stallion),0.935,0.454,-7.509,0.375,0.0194,0.0824,133.073
7,Tia Tamera (feat. Rico Nasty),0.822,0.654,-4.623,0.132,0.019,0.233,119.884
8,Smack A Bitch,0.703,0.7,-2.417,0.221,0.0055,0.115,169.861
9,Chun-Li,0.686,0.73,-5.077,0.374,0.278,0.106,128.943
10,Partition,0.412,0.441,-11.523,0.291,0.0296,0.306,185.571
11,7 rings,0.778,0.317,-10.732,0.334,0.592,0.0881,140.048
12,STUPID (feat. Yung Baby Tate),0.772,0.637,-6.881,0.114,0.00459,0.0778,149.906
13,3 Musketeers,0.91,0.617,-10.234,0.0847,0.258,0.122,104.972
14,PJ,0.959,0.649,-6.535,0.21,0.096,0.635,106.996
15,Throw A Fit,0.888,0.586,-6.745,0.0604,0.00597,0.153,150.051
16,Hurts Like Hell (feat. Offset),0.704,0.56,-6.791,0.179,0.185,0.0948,75.003
17,Bad Bitch (feat. Ty Dolla $ign),0.656,0.615,-6.252,0.0539,0.0283,0.234,139.91
18,S.L.U.T.,0.722,0.773,-4.378,0.0792,0.0598,0.179,94.997
19,Dead,0.583,0.7,-4.969,0.211,0.4,0.183,103.072
20,you should see me in a crown,0.678,0.533,-10.485,0.186,0.462,0.139,150.455
21,You Don't Own Me (feat. G-Eazy),0.332,0.635,-5.653,0.0898,0.159,0.0599,186.249
22,"Jumpin', Jumpin'",0.771,0.685,-4.639,0.0567,0.00543,0.0537,88.997
23,2 On (feat. ScHoolboy Q),0.742,0.595,-7.51,0.107,0.15,0.111,101.013
24,Dangerous Woman,0.677,0.604,-5.32,0.0385,0.0612,0.353,134.052
25,Company,0.897,0.498,-5.0,0.0605,0.552,0.127,119.991
26,Beware,0.7,0.554,-5.909,0.187,0.219,0.419,97.127
27,Walls Could Talk,0.626,0.423,-6.035,0.0513,0.128,0.18,95.162
28,Blessings,0.79,0.621,-7.634,0.275,0.333,0.122,118.895
29,Rules,0.664,0.724,-5.457,0.116,0.171,0.13,144.052
30,Daisy,0.834,0.663,-6.143,0.133,0.235,0.372,121.876
31,DDLG,0.906,0.388,-10.922,0.252,0.267,0.301,139.983
32,Formation,0.896,0.621,-6.857,0.237,0.00532,0.196,121.966
33,Press,0.888,0.525,-5.665,0.305,0.029,0.137,133.983
34,Bad Girls,0.639,0.912,-2.621,0.0615,0.00107,0.097,143.448
35,7/11,0.747,0.705,-5.137,0.126,0.0128,0.126,136.024
36,MONOPOLY (with Victoria Monét),0.892,0.507,-8.282,0.378,0.704,0.109,143.96
37,You & Jennifer,0.752,0.698,-6.53,0.306,0.52,0.211,132.058
38,How You Like That,0.812,0.8,-4.282,0.077,0.0375,0.0638,130.036
39,Good In Goodbye,0.658,0.698,-5.95,0.177,0.433,0.174,139.054
40,Sue Me,0.46,0.809,-5.415,0.326,0.0422,0.138,157.184
41,hot girl bummer,0.782,0.559,-7.106,0.0767,0.125,0.385,129.992
