,name,uri,danceability,energy,loudness,speechiness,acousticness,liveness
0,Being so Normal,spotify:track:65sNrvOp2HLlhGTeLJ0nnk,0.541,0.583,-8.886,0.0507,0.674,0.125
1,White Lie,spotify:track:7FDtcMasID446JlLd0eFZa,0.632,0.284,-9.319,0.0315,0.792,0.109
2,Shampoo Bottles,spotify:track:2INUkDPCO1eQlOFmIN5VAC,0.648,0.436,-9.578,0.0275,0.0232,0.0944
3,Running,spotify:track:2CVeqoap0AwLbdjWr6Rraq,0.642,0.52,-10.287,0.0524,0.663,0.0601
4,How,spotify:track:15Ax8eHs3aH9MCFcIERDp8,0.284,0.617,-7.95,0.0355,0.314,0.185
5,Would That I,spotify:track:37zuIvk4KBkAxxLJsxJaHq,0.521,0.526,-6.032,0.0281,0.243,0.108
6,Not Me,spotify:track:1H3bR7kQ1VBOb5pEJMiPdM,0.513,0.878,-5.913,0.0547,0.339,0.147
7,Fuck Em Only We Know,spotify:track:29eSUWTaHCK25EPDNTk1hG,0.51,0.577,-9.282,0.0401,0.608,0.15
8,Bored,spotify:track:2Zdtb7m53yJnt0Y2uCZzbL,0.524,0.476,-13.438,0.0676,0.579,0.124
9,Psychics in LA,spotify:track:5tsB5ROYUKKisUaJQIEEfv,0.328,0.849,-5.02,0.052,0.0096,0.232
10,August,spotify:track:0elCmyfISzkP5tAYTVuYjS,0.45,0.602,-4.308,0.0273,0.0892,0.103
11,Ghosting,spotify:track:3vZUC1m6QVm7urnN6lcF64,0.606,0.618,-5.1,0.0258,0.325,0.108
12,Sweet FA,spotify:track:4fY6EU3jUQQISiUR8DLXuM,0.574,0.495,-7.893,0.0479,0.137,0.114
13,Motion Sickness,spotify:track:6LxcPUqx6noURdA5qc4BAT,0.652,0.545,-9.021,0.0358,0.774,0.0847
14,Live Well,spotify:track:2H30WL3exSctlDC9GyRbD4,0.496,0.644,-5.385,0.0269,0.264,0.0695
15,Tommy's Party,spotify:track:5OuJTtNve7FxUX82eEBupN,0.565,0.438,-8.722,0.0311,0.122,0.108
16,Lay All Your Love On Me,spotify:track:2245x0g1ft0HC7sf79zbYN,0.695,0.701,-6.435,0.0281,0.0187,0.251
17,Dreams - 2004 Remaster,spotify:track:0ofHAoxe9vBkTCp2UQIavz,0.828,0.492,-9.744,0.0276,0.0644,0.128
18,I'm a Kid,spotify:track:4RkQzVNxEt6JwOXCWolXsr,0.657,0.606,-7.238,0.0294,0.000847,0.122
19,I've Been Down,spotify:track:1lW4H8TPAXJpSQDYo1vz7H,0.8,0.457,-6.453,0.0418,0.53,0.371
20,Angel of Small Death and the Codeine Scene,spotify:track:7uY7jZs5srSx3xMmyCI48T,0.52,0.643,-5.761,0.0432,0.198,0.12
21,From Eden,spotify:track:2XRCxFtPqSsnY94jZCFuYu,0.399,0.672,-5.506,0.05,0.584,0.118
22,Alrighty Aphrodite,spotify:track:6OiRh4kttAs1YWglvTcYkB,0.534,0.724,-4.675,0.0495,0.00605,0.108
23,El Camino,spotify:track:4r9iUvR76uqO95cgZV0MKl,0.561,0.673,-8.858,0.108,0.552,0.561
24,Supermodel,spotify:track:5wTVNpi5WDByxBgKgUE6MU,0.612,0.442,-8.874,0.289,0.651,0.26
25,Give Me One Reason,spotify:track:4vDBJeeQCbhP9FaPPMsYkY,0.608,0.419,-10.016,0.0331,0.602,0.108
26,Ronson Princess,spotify:track:2Xk3MunfpZwHSJktWNhRbz,0.686,0.635,-7.695,0.0602,0.393,0.0982
27,Rillo Talk,spotify:track:23vXZL9tbcTL3B6gEzpUbW,0.765,0.31,-10.601,0.0438,0.594,0.082
28,June,spotify:track:4C0P5aJsVTkqXgVeAl83Iy,0.404,0.534,-7.968,0.0892,0.242,0.106
29,The Wolves (Act I and II),spotify:track:2K9aNlFNoh2UVY7K7iPMnS,0.466,0.165,-16.0,0.0486,0.774,0.0888
30,Amsterdam,spotify:track:2kGFXxG593JBNBZAjPUppF,0.557,0.411,-12.563,0.0289,0.919,0.114
31,Candles,spotify:track:5Ur23WUXgTWGfJDWWYV7y3,0.403,0.445,-12.285,0.0394,0.208,0.0911
32,Re: Stacks,spotify:track:2LthqyP0MLhGUBICwR1535,0.676,0.0812,-22.846,0.0398,0.979,0.118
33,Ultralife,spotify:track:1ZQwftFvuyrHrl41HA9dOC,0.442,0.782,-4.255,0.0477,0.235,0.195
34,Painting (Masterpiece),spotify:track:7kmSIKAk4VHP4QUjpBPbGg,0.726,0.861,-5.172,0.0695,0.277,0.0589
35,Australia,spotify:track:1JQiZTI59vPKwXHaU0md7I,0.434,0.842,-4.468,0.038,0.00442,0.308
36,I'm Into You,spotify:track:7JglQ8fg4Qxrj9G5YewtTL,0.556,0.686,-6.933,0.452,0.667,0.192
37,Mend,spotify:track:03a1PzNuxKCDfTamVG86MZ,0.582,0.361,-13.59,0.0343,0.792,0.334
38,Wandering Child,spotify:track:0BIubA1OOVNkFtkZXBe3gP,0.671,0.36,-11.696,0.0367,0.792,0.0967
39,Honeybee,spotify:track:5CalS8Gn69OOrR9aiw0ZO9,0.642,0.52,-7.886,0.0387,0.118,0.552
40,Freakin' Out On the Interstate,spotify:track:6Fqf0OTfB9VPfYk2HfBhPn,0.452,0.79,-5.01,0.0534,0.391,0.303
41,Brazil,spotify:track:4sNG6zQBmtq7M8aeeKJRMQ,0.687,0.617,-5.213,0.0287,0.0941,0.0898
42,Poplar St,spotify:track:3ApAsbQP7d5GlFwwdExaTY,0.575,0.446,-7.802,0.0296,0.247,0.137
43,Drift,spotify:track:2y14MWseQnWXApjJjNCPm8,0.607,0.667,-6.655,0.0395,0.14,0.0911
44,New Slang,spotify:track:2cP37n7TZEe0oBxCbZu0KA,0.669,0.388,-11.547,0.0306,0.605,0.0905
45,Cough Syrup,spotify:track:1UqhkbzB1kuFwt2iy4h29Q,0.534,0.721,-7.307,0.0417,0.0343,0.115
46,Big Black Car,spotify:track:3Kj2EWpIBnvETsYq4cq0IH,0.572,0.183,-16.069,0.0323,0.897,0.103
47,Cherry Wine - Live,spotify:track:1C042FLYy7rP3MfnkOcnha,0.415,0.11,-14.901,0.0388,0.951,0.0962
48,Shallows,spotify:track:6rhEGvWq4CtJJt6ezJIjxf,0.312,0.37,-14.361,0.0412,0.893,0.124
49,Rivers and Roads,spotify:track:20svOpmCQao5GUBgSu8zDe,0.499,0.178,-9.764,0.0345,0.701,0.0762
50,14 Faces,spotify:track:28nC2aXXUqvQCT3XeJs5Yd,0.428,0.82,-5.504,0.0803,0.32,0.379
51,Wasted,spotify:track:5C90m8eM6GJR2SACiLAWHo,0.786,0.607,-7.992,0.0517,0.114,0.104
52,Run,spotify:track:4Fc62OkXYtEOjMmaSyJoQY,0.544,0.625,-6.797,0.0342,0.00384,0.0889
53,Follow My Girl,spotify:track:0lCfUyNC5NAsfILnKEVj23,0.576,0.734,-6.38,0.158,0.228,0.141
54,Tiny Umbrella,spotify:track:5AZOHZ0yBdQIojC4UxfT59,0.606,0.878,-5.318,0.0828,0.0134,0.339
55,Paralyzer,spotify:track:28IEbk5a7twNTbUEvWslUb,0.644,0.939,-3.486,0.0456,0.157,0.233
56,Nights With You,spotify:track:5q5gzmbBS5yQzos2BvVr1t,0.763,0.671,-4.029,0.1,0.401,0.375
57,Head Is Not My Home,spotify:track:1NNNnKb26B6Efm0mGWB7dL,0.649,0.886,-5.185,0.0409,0.0154,0.352
58,Winterbreak - Tiësto's Deep House Remix,spotify:track:2I0Q1wxFRdnDYtG6Q8W47S,0.699,0.725,-5.426,0.0523,0.0102,0.336
59,repetition,spotify:track:1HnhgqyDAFKyFey3wZSYUM,0.58,0.633,-6.576,0.109,0.18,0.335
60,Capsize,spotify:track:2XMTqoHHSH0lvuXrvIEdco,0.683,0.708,-6.244,0.0305,0.0398,0.686
61,Say My Name (feat. Zyra),spotify:track:1LeItUMezKA1HdCHxYICed,0.749,0.745,-7.367,0.0479,0.0041,0.0748
62,Fire,spotify:track:1bVR1UVkeaJRK5LNpIe7Gp,0.386,0.714,-5.597,0.381,0.263,0.233
63,Last Cigarette,spotify:track:4HgzKOJxLUgGmJfUlKYJZS,0.58,0.427,-11.348,0.0359,0.407,0.0966
64,Daddy Issues,spotify:track:5E30LdtzQTGqRvNd7l6kG5,0.588,0.521,-9.461,0.0329,0.0678,0.123
65,Staying Up,spotify:track:1NA2NvAgCB4EfcBC8OHfuj,0.394,0.855,-4.204,0.0554,0.0339,0.243
66,Quiet,spotify:track:1Vdi6aed78kVe8xSjX8qoN,0.471,0.56,-9.546,0.0405,0.0848,0.117
67,Whatever You Like - Single Version,spotify:track:5qX2ZJoLEyFCTAdaCqUo7s,0.663,0.643,-4.383,0.0316,0.535,0.308
68,Not Above Love,spotify:track:6wIuXffmapTD8RQgo2sFdL,0.741,0.733,-4.818,0.0458,0.413,0.394
69,Smoke Too Much,spotify:track:31cahXEtbRJM5lzVjvgW21,0.575,0.55,-7.081,0.0617,0.0876,0.169
70,Spacin Out,spotify:track:099NgYQditsnMhePFr61Fl,0.563,0.82,-5.405,0.0522,0.096,0.06
71,Cecilia And The Satellite,spotify:track:1MSM3Fo2fvnwVqMcz8Jhjq,0.381,0.844,-7.123,0.144,0.0131,0.318
72,Buy U a Drank (Shawty Snappin'),spotify:track:2aIdVb8v9KTpEZnftkz2mD,0.451,0.55,-8.137,0.262,0.0108,0.0737
73,Forrest Gump,spotify:track:4YZbVct8l9MnAVIROnLQdx,0.701,0.417,-7.818,0.0329,0.0888,0.375
74,Pusher Love Girl,spotify:track:773hekg7UEdbGvv3lJ3CmV,0.485,0.441,-8.248,0.0775,0.466,0.485
75,The Fear,spotify:track:7bW6MqAdTclmHVHAOkIyPS,0.661,0.847,-6.948,0.0404,0.419,0.107
76,212,spotify:track:6no1mklq4BJBg7KJ6Dly7N,0.847,0.769,-5.761,0.258,0.0145,0.0767
77,Grace Kelly,spotify:track:7dzUZec5MnWMyQnk5klnKR,0.671,0.82,-5.796,0.048,0.0194,0.361
78,After Tonight,spotify:track:5sbs0qh9EIOsAVa3DmFFd4,0.6,0.427,-8.252,0.049,0.673,0.123
79,Just A Boy,spotify:track:2C9ccz5RicfFajtmVojC2j,0.642,0.7,-9.186,0.0471,0.239,0.37
80,Seeing Stars,spotify:track:2CzXAeABCmbEB52ZziuMsH,0.638,0.893,-4.21,0.059,0.0534,0.256
81,I Need A Forest Fire,spotify:track:0TLAptKgYxe7F0KewWH6X6,0.293,0.29,-11.596,0.0454,0.696,0.1
82,Tadow,spotify:track:51rPRW8NjxZoWPPjnRGzHw,0.704,0.487,-6.407,0.0604,0.669,0.111
83,The New Workout Plan,spotify:track:1Vp4St7JcXaUoJcIahtf3L,0.704,0.792,-4.831,0.198,0.00981,0.365
84,Knock You Down,spotify:track:58FUwmyGUqkt53YPUcm7cJ,0.588,0.877,-4.78,0.16,0.00952,0.171
85,Too Little Too Late - 2018,spotify:track:3hc7PLcmuZbJGPjhIore1i,0.394,0.821,-4.304,0.0404,0.00302,0.186
86,"Dear, Home",spotify:track:3jSd2fWYccv84Coi2t6NOr,0.504,0.444,-10.082,0.0397,0.0149,0.11
87,Cool for the Summer,spotify:track:3uwnnTQcHM1rDqSfA4gQNz,0.583,0.61,-5.639,0.0382,0.00425,0.14
88,Love Lockdown,spotify:track:1kxeWHF9PrCVZHvVskv8lg,0.76,0.524,-7.67,0.0323,0.0542,0.112
89,I Don't Think So,spotify:track:1BczdgS6s8ofRNMZPtbMF1,0.833,0.477,-9.489,0.04,0.689,0.095
90,Rewind,spotify:track:1VwFPiTNrvxg16OBBPDrEf,0.663,0.625,-7.123,0.0666,0.114,0.172
91,Your Love's A Drug,spotify:track:3QXTAcrADGmjVYUrFK0Lr2,0.747,0.73,-6.737,0.0367,0.00244,0.0851
92,Love Like This (feat. Sean Kingston),spotify:track:49ppqF73rOz5Nyt1paRxIF,0.781,0.791,-3.903,0.0468,0.145,0.127
93,Live Like We're Dying,spotify:track:1HfxPaJggVwFsvOtHbVzMz,0.589,0.893,-2.948,0.0397,0.0273,0.343
94,Damaged,spotify:track:4yHFxB8kzzeuNvoouR8N0N,0.774,0.653,-5.158,0.05,0.0912,0.151
95,Come Back To Me,spotify:track:0occ3Gxp6ZV5DUmJNuEsQB,0.65,0.868,-3.988,0.084,0.000836,0.245
96,Kryptonite,spotify:track:6ZOBP3NvffbU4SZcrnt1k6,0.545,0.865,-5.708,0.0286,0.00664,0.168
97,Ghost,spotify:track:2UssqF6EaiZwfJJV2PV4rw,0.597,0.911,-3.047,0.0415,0.0325,0.159
98,Haven't Had Enough,spotify:track:2vCyLvNnBguMAY6iESbxjf,0.786,0.623,-5.036,0.0738,0.0056,0.0866
99,Cross My Heart,spotify:track:6csKgL9VRYejis1pQLX7R5,0.571,0.891,-3.749,0.186,0.0112,0.827
100,Obsessed,spotify:track:3IcIIZMMS7UArJJPtEHXG8,0.742,0.468,-5.557,0.0625,0.0465,0.826
101,When It Lands,spotify:track:16ro1is6DmDKkarlJMBbzV,0.727,0.48,-9.278,0.0987,0.444,0.118
102,Teddy Picker,spotify:track:4OkPamOn5GofkOQu64Z4eR,0.637,0.973,-3.386,0.112,0.000413,0.104
103,She's a Riot,spotify:track:4xy9nsO8EX4OR0c6lf0WFu,0.494,0.915,-3.795,0.0583,0.00214,0.11
104,blushing!,spotify:track:7D6Jzo3YzS5kPwU1LlZDog,0.367,0.551,-6.199,0.0603,0.225,0.0648
105,Sex,spotify:track:16dhKOceRRKSEoQcdGr9Hd,0.609,0.585,-10.471,0.0353,0.305,0.117
106,D Is for Dangerous,spotify:track:45QyGXbqTWaFUrIKe2ugs3,0.551,0.928,-4.776,0.0365,1.05e-05,0.145
107,The Comedown,spotify:track:4FMRToryd5E6dwGPh0hA26,0.811,0.546,-10.046,0.0764,0.287,0.116
108,Undercover Martyn,spotify:track:0Hrd6CSafHHqKptyFppmqH,0.442,0.872,-5.072,0.123,0.00025,0.0602
109,Slow Down Love (feat. Chelsea Cutler),spotify:track:0z95CqBxQnSQhNnoWTZJKL,0.618,0.59,-7.751,0.359,0.559,0.208
110,505,spotify:track:58ge6dfP91o9oXMzq3XkIS,0.52,0.852,-5.866,0.0543,0.00237,0.0733
111,suburban wonderland,spotify:track:3onhZHz1h9mB7zrJOodDY6,0.617,0.685,-7.687,0.063,0.0184,0.0848
112,Get You High,spotify:track:1YAk839AZQjTDp7vT0f3Tm,0.463,0.742,-6.143,0.0396,0.0421,0.331
113,In Green (feat. Sarah Quintana),spotify:track:1PvsENmbP6vooYJEFjLNzE,0.724,0.858,-6.917,0.054,0.186,0.125
114,Little House,spotify:track:672rLD2Eqriv9fVvSm1Lgg,0.409,0.903,-3.536,0.0572,0.0622,0.238
115,Careful,spotify:track:63L9AjBDN3SOMbJlBkFqiZ,0.417,0.945,-3.703,0.0805,0.00019,0.2
116,When I'm Down,spotify:track:556l9P7WVZVyYUBjT1YFTT,0.827,0.769,-4.058,0.126,0.209,0.091
117,Come on Mess Me Up,spotify:track:6lOHJvk1ss3cH42PlxyLvo,0.344,0.592,-5.582,0.0323,0.0626,0.13
118,girl in new york,spotify:track:6APTEV2EIRpBEvuTrS5XTv,0.621,0.555,-7.854,0.0299,0.0405,0.111
119,Save Me From Myself (with NoMBe & Big Gigantic),spotify:track:7f4bRMqRKRfUNPW2gbTHSt,0.673,0.676,-4.888,0.216,0.0198,0.428
120,Good Nights (feat. Mascolo),spotify:track:36fRbuu9QkKVDR1j7jTI2U,0.849,0.483,-7.114,0.291,0.443,0.0786
121,Superposition,spotify:track:67YPjbcxUypwNOwYBZquq1,0.593,0.697,-5.416,0.0399,0.00289,0.14
122,We Stayed Up All Night,spotify:track:7eSWgAlmLPXbGxgH3RNoWh,0.519,0.843,-6.508,0.0431,0.214,0.21
123,Love Don't Die,spotify:track:6IDDwI0YOCAUDhMZltQekS,0.632,0.805,-4.488,0.0303,0.0095,0.197
124,Beggin For Thread,spotify:track:4PvD06Pmbm2rHG2JjSlElF,0.597,0.696,-6.196,0.0278,0.00101,0.255
125,Gold Teeth,spotify:track:4jCjS7ND7APd7L9vdldRYG,0.6,0.76,-6.26,0.0299,0.0498,0.146
126,I Don't Know Why - Danny Avila Remix,spotify:track:21Q72CqG52KpskLAFYsogC,0.561,0.749,-4.205,0.0419,0.0947,0.239
127,Blood,spotify:track:14XWxMtz3iJ0vmy5tNebyB,0.678,0.523,-8.17,0.0341,0.383,0.112
128,All at Once,spotify:track:40NUp6VJswDOlGp63Pxybe,0.496,0.863,-2.509,0.043,0.0172,0.0676
129,Give Him Up,spotify:track:3dmwfSNlWe92mm6Jvv3EzE,0.661,0.781,-5.11,0.0757,0.000262,0.0652
130,Bulletproof,spotify:track:6lUY6MoqGgPnA27PHYxem5,0.674,0.882,-2.771,0.0477,0.000441,0.068
131,Celebrity Status,spotify:track:14tNNpoHgVDU8es3Xr7ZWN,0.623,0.938,-2.81,0.105,0.0141,0.195
132,Fall Away,spotify:track:72hCfian9ClAMI97vy00WN,0.397,0.576,-4.489,0.0282,0.0641,0.117
133,Maybe She,spotify:track:0yJRQPFhkgBMP8RyerfH8l,0.577,0.527,-11.491,0.16,0.516,0.108
134,Brick by Boring Brick,spotify:track:1a9YW7fATU351ok4zWjU7a,0.436,0.942,-2.206,0.0496,9.56e-05,0.209
135,Cry For Me,spotify:track:4tyJ6cRDQOQMeZLwMqFjax,0.561,0.768,-4.884,0.0558,0.00166,0.29
136,Beggin',spotify:track:5SlHTXLWa0nvh8VtGgKlJB,0.731,0.718,-7.51,0.0672,0.0226,0.0518
137,Gemini Feed,spotify:track:5fdzPMOxUqVJYSzTP5cFP7,0.768,0.654,-6.223,0.0762,0.203,0.168
138,Foolsong,spotify:track:2iyDTStpAS9b3BOpTJKREn,0.692,0.478,-11.444,0.0502,0.178,0.105
139,Remember December,spotify:track:4mXQQJi5S5SJlvn7os8Pb4,0.467,0.845,-6.131,0.0785,0.00122,0.112
140,Crazier,spotify:track:5vyxXfD5gLlyPxGZMEjtmd,0.452,0.544,-5.423,0.0277,0.0631,0.104
141,Hurricane,spotify:track:5Dg2h1wsm7ZijCo0yLmbvR,0.586,0.83,-5.375,0.0416,0.00823,0.348
142,"10,000 Emerald Pools",spotify:track:2pA4ip3VIEVcIa3qE02oAX,0.568,0.578,-5.589,0.0404,0.00694,0.099
143,Attica '71,spotify:track:5heCc8CzyOHlJiRLq3AFkE,0.508,0.536,-6.303,0.0609,0.107,0.0804
144,Forever & Always,spotify:track:47HtKpfzpAt8rQjjXWotFj,0.608,0.821,-4.985,0.0576,0.0752,0.11
145,Taste,spotify:track:2yxAXBCXThRxMqNIYUvkUe,0.584,0.765,-4.948,0.0371,0.0159,0.192
146,Believe,spotify:track:4lhFVdUOQBhFFjbnH708of,0.593,0.6,-9.066,0.0399,0.568,0.0836
147,Always Like This,spotify:track:73M2Vb5MfZh8iGKudkMtlw,0.659,0.591,-6.713,0.0313,0.441,0.0862
148,The Cave,spotify:track:3pLTOP0G0etiWUknFoRpsr,0.576,0.486,-9.364,0.0406,0.0606,0.093
149,Colors - Audien Remix,spotify:track:3WtCu35qpzGCLIGa8pczdu,0.649,0.885,-2.012,0.106,0.0722,0.101
150,Breathe,spotify:track:49mWEy5MgtNujgT7xU3emT,0.505,0.482,-7.372,0.0276,0.379,0.113
151,The Ceiling,spotify:track:6EprgVYMTXhotXNEBi4qr2,0.529,0.868,-5.001,0.0378,0.0424,0.504
152,Border (CH. III),spotify:track:1VUJHMFmkaHrGngkhObeo1,0.319,0.195,-9.571,0.028,0.832,0.109
153,Kids,spotify:track:6DS51W3CvxpUO3Z8XXfKok,0.492,0.964,-3.475,0.0729,0.00046,0.434
154,Ghostride,spotify:track:476QHG5G8xxNI9VHTBFfjp,0.665,0.35,-9.426,0.028,0.508,0.109
155,Memories,spotify:track:6ejNhDv0QjCcx7g5v4LrqT,0.692,0.723,-6.54,0.0516,0.0297,0.163
156,Florida Guilt,spotify:track:3UhONkAX29pmNQpxcNoOPC,0.667,0.429,-10.098,0.0534,0.0845,0.185
157,You Know Me Too Well,spotify:track:1BpmL4NBhX2P7GxuoVtojI,0.605,0.688,-5.042,0.0325,0.00122,0.277
158,Do Me a Favour,spotify:track:13NCxLOlvQ4Tnexgfp03Gs,0.471,0.735,-6.685,0.0582,7.84e-05,0.101
159,SUPERPOSITION,spotify:track:45PxuJqJBnPXZKLxoo9Apj,0.589,0.279,-11.209,0.0408,0.911,0.087
160,Sometimes,spotify:track:7oJmIBxEAYjfkS7lhZ7M1S,0.445,0.563,-8.904,0.0315,0.105,0.179
161,Orpheus Under the Influence,spotify:track:7KwJrAQMoJyUEBes3evMLv,0.362,0.871,-6.546,0.0502,0.0365,0.114
162,Gutter Girl,spotify:track:1sEzuZNasuG8s1OOHwYfN2,0.519,0.809,-6.074,0.0646,0.182,0.0951
163,Good Luck,spotify:track:3v1FPBfBPWPh1cXUJQut5V,0.754,0.763,-6.685,0.0298,0.0041,0.0938
164,Young Blood,spotify:track:2wb2FptR9dbAw9TIQpMfZ1,0.273,0.786,-5.535,0.116,0.0117,0.0364
165,Overflow,spotify:track:7KO4qPyqzkdV07Jnq1YxP0,0.744,0.461,-10.873,0.037,0.573,0.128
166,Come with Me,spotify:track:73thFF2dTA93FCvHZoxinB,0.688,0.487,-6.99,0.0296,0.709,0.107
167,Bitter,spotify:track:2DkZisoN9h1dLa8Sn5sx0n,0.203,0.715,-5.485,0.0494,0.0487,0.051
168,I,spotify:track:4eIOKoRn2jIJOtjrYIGyaQ,0.683,0.606,-9.022,0.0757,0.549,0.0551
169,Heroin Song,spotify:track:7CI3G8yGsE8tGeywhAtrY6,0.511,0.542,-8.318,0.0273,0.00843,0.326
170,Do You Need Me,spotify:track:6EfW7A9Ibn1Kdbcr6E3IgZ,0.425,0.85,-6.294,0.0499,0.262,0.162
171,Rosalie (CH. II),spotify:track:4pqM7ItJF81CipUjbFw0gt,0.7,0.74,-6.547,0.041,0.152,0.213
172,Badillac,spotify:track:5tQkgG7unCiJxaOFp5yc5O,0.343,0.926,-2.953,0.0696,0.000277,0.261
173,Freaks,spotify:track:0HUTL8i4y4MiGCPId7M7wb,0.346,0.944,-9.874,0.0485,4.16e-05,0.0546
174,You Are Going to Hate This,spotify:track:4upw9RT8Cs96EQhCuoNryV,0.565,0.762,-7.713,0.0309,0.00546,0.623
175,The Woods,spotify:track:4lNO4GTpuY8oqxAeO3osQW,0.529,0.243,-14.262,0.0371,0.789,0.101
176,Winter Song,spotify:track:4f0TgSdnS7RvpPgzlTJtyJ,0.544,0.23,-15.357,0.0324,0.825,0.116
177,The Devil's Tears,spotify:track:0SwQOkLSJ4O4b6iQMl7x33,0.655,0.311,-12.951,0.0267,0.513,0.0964
178,"Soldier, Poet, King",spotify:track:26ky3sBMKv31Kpvil5pGDh,0.347,0.769,-7.747,0.0614,0.0322,0.117
