,name,uri,danceability,energy,loudness,speechiness,acousticness,liveness
0,Tommy Lee (feat. Post Malone) - Tommy Lee Remix,spotify:track:4wDGADdtM4Y9BYl8THgaFr,0.591,0.838,-6.011,0.0428,0.00492,0.296
1,Trojans,spotify:track:0wDEiGfq4pw7FAkYKpkwMo,0.721,0.822,-4.843,0.0391,0.0113,0.0898
2,Got It On Me,spotify:track:25zlnOAzbVoOzIeXSvQFf1,0.688,0.647,-7.258,0.19,0.00815,0.095
3,When I'm Down,spotify:track:556l9P7WVZVyYUBjT1YFTT,0.827,0.769,-4.058,0.126,0.209,0.091
4,Good Time,spotify:track:7cPKQeCtGjRjoFVw6ub5rS,0.708,0.62,-5.903,0.125,0.0106,0.354
5,Cover You (feat. Travis Barker),spotify:track:5wDMOWT8sQ5S1uYge14lUU,0.657,0.794,-3.948,0.0365,0.00698,0.427
6,18,spotify:track:21hbZ0yllYOoXEbiFDYMSI,0.724,0.854,-2.779,0.0997,0.0603,0.0805
7,Fvck Somebody,spotify:track:1GU6oaDhWaypMzfP51BYKo,0.574,0.624,-4.239,0.039,0.0233,0.504
8,Hammer,spotify:track:5kqr6EkKEafBGKxzjdXOVP,0.417,0.869,-6.173,0.103,0.00157,0.405
9,Choose Life,spotify:track:64bFcGOGHhAtNtYzneEDJV,0.548,0.967,-2.759,0.0898,0.00364,0.461
10,Eighties,spotify:track:24IomcewkT5UHW4U8BYQTH,0.658,0.763,-3.098,0.0559,0.0285,0.359
11,I Remember Way Too Much,spotify:track:5VuG5MIvFkGpn0bTEGiOF7,0.565,0.669,-4.838,0.0389,0.382,0.144
12,Kinda Like It Now,spotify:track:1iiC6UjT3ueAj5f9BA48d7,0.657,0.605,-5.77,0.0302,0.021,0.233
13,Hold On (feat. Cheat Codes) - Radio Edit,spotify:track:0XnHIhm9ppEHHDSRESdEcV,0.611,0.785,-5.721,0.0707,0.194,0.0956
14,30,spotify:track:6nipZlJiUvI0I7lCf1Z7Li,0.548,0.971,-3.915,0.16,0.00324,0.065
15,Oceans,spotify:track:7Cia4WzapwjMr0NUQF8vf3,0.404,0.48,-8.906,0.0303,0.274,0.132
16,On Some Emo Shit,spotify:track:6p9sPxEVx6Y2eiyh6JtRZD,0.475,0.826,-6.121,0.0532,0.0222,0.659
17,F2020,spotify:track:3HZuxQ80VWOsBWws8XQdFB,0.702,0.597,-7.067,0.207,0.587,0.112
18,Bottle and Mary Jane,spotify:track:5MbtltJOrf5hTldbvaEqdV,0.552,0.628,-7.666,0.193,0.65,0.165
19,minimal,spotify:track:28sNP4vXS6EtFr2VKPhCTQ,0.575,0.679,-4.442,0.0432,0.547,0.34
20,On & On,spotify:track:4B2kkxg3wKSTZw5JPaUtzQ,0.458,0.696,-4.742,0.0402,0.285,0.123
21,Nascar,spotify:track:4bAtZ1uh94cTS8HY6X73sf,0.715,0.482,-9.028,0.0388,0.0516,0.134
22,Stay Away (feat. Machine Gun Kelly & Goody Grace),spotify:track:00okrW9OfjmG0PZJSY3fJd,0.667,0.636,-5.669,0.082,0.022,0.0908
23,BLURRY (out of place),spotify:track:14uAFiZ94iMTeEpXq1cLCi,0.357,0.829,-5.071,0.0993,0.00225,0.113
24,Open Your Eyes,spotify:track:0xxm1WskKZSCvbkGjkSMr2,0.67,0.756,-4.299,0.0322,0.00549,0.152
25,Sick and Tired,spotify:track:5eU0KDvZVfFl4ehleRwGGF,0.747,0.495,-8.584,0.0491,0.151,0.146
26,Intentions,spotify:track:3pEy3cfq0SyFDGKtuIE7V7,0.525,0.896,-4.928,0.0499,0.000618,0.163
27,the day i died,spotify:track:50HURWGNsCiJw4qFDQu40X,0.59,0.443,-11.408,0.0466,0.726,0.387
28,MODERATION,spotify:track:2jmTm3bGEp5N0dOwCqVvAl,0.51,0.53,-6.593,0.0464,0.00252,0.224
29,Across The Room - Tycho Remix,spotify:track:1nzLNeyk835Q9h1zPS4gr9,0.383,0.765,-7.295,0.0539,0.00371,0.101
30,money machine,spotify:track:61bwFjzXGG1x2aZsANdLyl,0.68,0.659,-7.186,0.151,0.229,0.474
31,Friends (feat. Powfu),spotify:track:7pJSpYDtskHUajG1HDlkhf,0.711,0.589,-5.866,0.0431,0.103,0.161
32,Two Shots (feat. gnash),spotify:track:1746Hs7bQJMMYAZvVYM3ig,0.768,0.408,-8.551,0.0714,0.0542,0.106
33,Crown,spotify:track:3AhPjjXviHid6smOeWNVrZ,0.518,0.437,-11.395,0.108,0.0916,0.114
34,Kids Don't Fall in Love,spotify:track:6BFNvB6OOHHf96Zgo1y7wL,0.684,0.442,-8.093,0.092,0.553,0.0915
35,Back Porch,spotify:track:6aXA7DT5rC8RbfYe2jAQa0,0.672,0.866,-3.711,0.0352,0.0387,0.189
36,I Wear Black,spotify:track:3uSaPUjqcwyZhIH6mukgow,0.552,0.315,-10.708,0.0882,0.174,0.154
37,2 BLiND HORSES,spotify:track:0GO9qXSjgn2dFZCdAPuOtW,0.533,0.2,-8.716,0.0883,0.0753,0.155
38,She's A God,spotify:track:2RSWXsgLoiGfuHHJk5ykxr,0.603,0.956,-3.997,0.112,0.0304,0.424
39,Talking to Myself,spotify:track:1GlUhpCHYcXuDBQwR7F2pv,0.742,0.456,-10.227,0.0902,0.387,0.0829
40,Halfway Dead (feat. Global Dan & Travis Barker),spotify:track:5SEvl5b2GJnLgdkn6gyv4X,0.447,0.87,-3.728,0.0705,0.000247,0.0687
41,Painkiller Weather,spotify:track:6R8yb1HLlYqiNA2qDmRT5D,0.52,0.961,-3.756,0.0661,0.0117,0.515
42,Clair,spotify:track:36WObrG4fzCrrTAqtaRtIE,0.66,0.782,-4.958,0.0361,0.0231,0.204
43,Cold Feet,spotify:track:2FDkS5M0hLIc4Ce3fevjdv,0.716,0.653,-5.929,0.0355,0.0126,0.0935
44,I'll Be Waiting,spotify:track:5YzCx2VvMbTKnrgMCRbk35,0.754,0.722,-8.169,0.0391,0.198,0.159
45,Beige,spotify:track:5bs5GopDitBx9xjoHHRDoo,0.47,0.67,-7.526,0.0783,0.393,0.117
