,name,danceability,energy,loudness,speechiness,acousticness,liveness,tempo
78,Prom Queen,0.528,0.797,-7.487,0.0485,0.000391,0.14,143.785
79,I Love You So,0.578,0.669,-4.898,0.0377,0.65,0.13,75.995
80,Summer on You,0.811,0.447,-6.55,0.0414,0.636,0.462,99.995
81,Love Me Less (feat. Quinn XCII),0.732,0.856,-2.2,0.0929,0.0828,0.323,145.034
82,stay,0.786,0.695,-6.627,0.16,0.325,0.151,80.022
83,Callin',0.611,0.328,-8.43,0.0368,0.851,0.109,137.132
84,False Direction,0.68,0.584,-10.459,0.0617,0.0304,0.106,149.976
85,Week,0.643,0.705,-4.591,0.031,0.17,0.107,82.001
86,Let's Fall in Love for the Night,0.737,0.408,-7.941,0.104,0.802,0.171,127.921
87,Sanctuary,0.552,0.65,-7.199,0.128,0.422,0.372,167.788
88,imagine if,0.907,0.452,-6.673,0.187,0.568,0.244,92.063
89,Shine On Top,0.808,0.754,-4.99,0.171,0.137,0.14,82.547
90,Fuck No (feat. Brasstracks & PhiloSofie),0.817,0.487,-6.585,0.474,0.545,0.336,70.949
91,Painkiller,0.683,0.42,-6.51,0.0542,0.0875,0.225,128.621
92,La La Land (feat. YG),0.774,0.473,-5.122,0.0569,0.221,0.222,97.953
93,AVOUTERIE,0.814,0.484,-7.399,0.0369,0.0237,0.103,117.983
94,My Little,0.329,0.713,-6.484,0.0397,0.17,0.508,138.563
95,Cleaner Air,0.717,0.797,-5.393,0.0368,0.876,0.0836,77.492
96,Stay Together,0.659,0.589,-4.004,0.0541,0.174,0.095,72.015
97,Driving to Hawaii,0.346,0.637,-4.919,0.0403,0.719,0.263,186.836
98,Pleaser,0.497,0.914,-4.308,0.0455,0.126,0.274,148.893
99,Electric Love,0.611,0.797,-7.627,0.0533,0.00543,0.26,120.041
100,1980s Horror Film II,0.593,0.658,-4.957,0.0304,0.0038,0.0804,116.021
101,Lost in You,0.771,0.607,-12.02,0.113,0.336,0.122,90.039
102,Darling,0.664,0.548,-7.642,0.0461,0.179,0.208,128.991
103,Goodbye Baby,0.747,0.422,-10.008,0.0294,0.664,0.392,111.141
104,comethru (bonus track),0.795,0.18,-12.293,0.0608,0.59,0.621,94.02
105,First Aid,0.599,0.458,-4.366,0.0266,0.0114,0.0996,69.971
